"Design now!","Ontwerp nu!"
"Product collection expected","Productverzameling verwacht"
"Product deleted","Product verwijderd"
"Product duplicated","Product gedupliceerd"
"Product has required options","Product heeft verplichte opties"
"Product links API (related, cross sells, up sells)","Product-links API (verwant, cross-selling, up-selling)"
"Product saving error.","Fout tijdens opslaan van product."
"Product saving error.","Fout tijdens opslaan van product."
"Product types API","Producttypen API"
"Product was successfully created.","Product is met succes aangemaakt."
"Product was successfully saved.","Product is met succes opgeslagen"
"Product with this combination of attributes already associated to configurable.","Product met deze attributencombinatie is al verbonden met configureerbaar."
"Products","Producten"
"Products Information","Gegevens producten"
"Products Sitemap","Sitemap van producten"
"Products only","Alleen producten"
"Products per Page on Grid default value","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on List allowed values","Toegestane waarden voor producten per pagina in lijstweergave"
"Products per Page on List default value","Standaardwaarde voor producten per pagina in lijstweergave"
"Products per page on Grid allowed values","Toegestane waarden voor tabel-weergave van producten per pagina"
"Properties","Eigenschappen"
"Qty","Aantal"
"Qty Uses Decimals","Decimalen in aantalen"
"Qty for Item's Status to become Out of Stock","Minmum-aantal voor melding Op voorraad"
"Quick Create","Snel aanmaken"
"Quick Overview","Snel overzicht"
"Quick simple product creation","Snel een simpel product aanmaken"
"Records for ""","Records voor """
"Redirect","Doorsturen"
"Redirect URL","Doorstuur URL"
"Regular Price:","Normale prijs:"
"Related Products","Verwante producten"
"Remove","Verwijderen"
"Remove Product","Verwijder product"
"Remove Product From Websites","Product van websites verwijderen"
"Remove This Item","Dit artikel verwijderen"
"Remove product assignment","Productkoppeling verwijderen"
"Remove product image","Productafbeelding verwijderen"
"Remove product link","Productlink  verwijderen"
"Required","Verplicht"
"Reset","Herstellen"
"Results","Resultaten"
"Retrieve attribute data","Attribuutgegevens ophalen"
"Retrieve attribute list","Attributenlijst ophalen"
"Retrieve attribute options","Attribuutopties ophalen"
"Retrieve categories tree","Boom categorieën ophalen"
"Retrieve category attributes","Categorie-attributen ophalen"
"Retrieve category data","Categoriegegevens ophalen"
"Retrieve hierarchical tree","Hierarchische boom ophalen"
"Retrieve linked products","Haal gekoppelde producten op"
"Retrieve list of assigned products","Haal een lijst op van toegewezen producten"
"Retrieve one level of categories by website/store view/parent category","Haal één niveau van categorieën op per website/winkelweergave/bovenliggende categorie"
"Retrieve product","Product ophalen"
"Retrieve product attribute sets","Productattributen ophalen"
"Retrieve product image","Productafbeelding ophalen"
"Retrieve product image list","Lijst productafbeeldingen ophalen"
"Retrieve product image types","Typenl productafbeeldingen ophalen"
"Retrieve product link type attributes","Attributen product-linktype ophalen"
"Retrieve product link types","Product-linktypen ophalen"
"Retrieve product tier prices","Staffelprijzen product ophalen"
"Retrieve product types","Producttypen ophalen"
"Retrieve products data","Productgegevens ophalen"
"Retrieve products list by filters","Gefilterde productenlijst ophalen"
"Review successfully deleted","Review is met succes verwijderd"
"Review was saved successfully","Review is met succes opgeslagen"
"Review was successfully saved","Review is met succes opgeslagen"
"Roll Over for preview","Mouse-over toont beeld"
"Root","Root"
"SKU","Artikelnummer"
"Save","Opslaan"
"Save And Continue Edit","Opslaan en verder bewerken"
"Save Attribute","Attribuut opslaan"
"Save Attribute Set","Attributenset opslaan"
"Save Category","Categorie opslaan"
"Save Search","Zoekopdracht opslaan"
"Saved","Opgeslagen"
"Scope","Scope"
"Search","Zoeken"
"search","zoeken"
"Search Engine Optimizations","Search Engine Optimalisatie (SEO)"
"Search Information","Zoekinformatie"
"Search Query","Zoek-query"
"Search Term was successfully saved","Zoekterm is met succes opgeslagen"
"Search Term with such search query already exist.","Zoekterm met zo'n query bestaat al."
"Search was successfully deleted","Zoekopdracht is met succes verwijderd"
"Searchable","Doorzoekbaar"
"Select Configurable Attributes","Configureerbare attributen selecteren"
"Select type of option","Type-optie selecteren"
"Select type options required values rows.","Rijen verplichte waarden voor type-opties selecteren"
"Selected Product Types","Producttypen selecteren"
"Selected configuration is not available.","Geselecteerde configuratie is niet beschikbaar"
"Send Count","Telling versturen"
"Set Ascending Direction","Van laag naar hoog sorteren"
"Set Descending Direction","Van hoog naar laag sorteren"
"Set Name","Naam instellen"
"Set Root Category For Store","Basiscategorie voor winkel instellen"
"Set root category for this store in the <a href=""%s"">configuration</a>","Basiscategorie instellen voor deze winkel in de <a href=""%s"">configuratie</a>"
"Set special price","Aanbiedingprijs instellen"
"Set/Get current store view","Huidige winkelzicht ophalen/instellen"
"Settings","Instellingen"
"Shop by","Winkelen per"
"Shopping Options","Selectie verfijnen"
"Show","Toon"
"Show Details","Details tonen"
"Show Tags","Tags tonen"
"Simple Product","Simpel product"
"Site Map","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Sla importeren van rij over, “%s” is geen geldige waarde voor veld “%s”"
"Skip import row, required field ""%s"" for new customer not defined","Sla importeren van rij over, benodigd veld “%s” voor nieuwe klanten niet opgegeven"
"Skip import row, required field ""%s"" for new products not defined","Sla importeren van rij over, benodigd veld “%s” voor nieuwe producten niet opgegeven"
"Skip import row, required field ""%s"" not defined","Sla importeren van rij over, benodigd veld “%s” niet opgegeven"
"Skip import row, store ""%s"" field not exists","Sla importeren van rij over, winkel “%s” veld bestaat niet"
"Sort Order","Sorteervolgorde"
"Source Model","Bron model"
"Special Price:","Speciale prijs:"
"Starting at:","Beginnend op:"
"Static","Statisch"
"Static block and products","Statisch blok en producten"
"Static block only","Alleen statisch blok"
"Stock Availability","Beschikbaarheid voorraad:"
"Store","Winkel"
"Store View","Winkelzicht"
"Stretch","Uitrekken"
"Subscribe to Feed","Abonneren op Feed"
"Subscribe to RSS Feed","Abonneren op RSS-feed"
"Super product attributes configuration","Configuratie super-productattributen"
"Synonym For","Synoniem voor"
"Synonym for","Synoniem voor"
"System","Systeem"
"System Properties","Systeemeigenschappen"
"Tag Name","Tag-naam"
"Tax","BTW"
"Text","Tekst"
"Text Area","Tekstvak"
"Text Field","Tekstveld"
"There are no %s available.","Er is geen %s beschikbaar."
"There are no customers for this alert","Er zijn geen klanten voor deze waarschuwing"
"There are no products matching the selection.","Er zijn geen producten die overeenkomen met de selectie."
"There was an error while adding products to websites","Er was een fout tijdens het toevoegen van producten aan websites"
"There was an error while cleared compare list","Er was een fout tijdens het toevoegen van producten aan websites"
"There was an error while removing products from websites","Er was een fout tijdens het verwijderen van producten van websites"
"There was an error while updating product(s) attributes","Er was een fout tijdens het updaten van productattribuut(pen)"
"There was an error while updating product(s) status","Er was een fout tijdens het updaten van de product status"
"This attribute no longer exists","Dit attribuut bestaat niet meer"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Deze groep bevat attributen die gebruikt worden in configureerbare producten. Verplaats deze attributen naar een andere groep en probeer opnieuw a.u.b."
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer opnieuw a.u.b."
"This search no longer exists","Deze zoekactie bestaat niet meer"
"Tier Pricing","Staffelprijzen"
"Tile","Tegel"
"Time","Tijd"
"Title","Titel"
"Top/Left","Bovenaan/links"
"Top/Right","Bovenaan/rechts"
"Total Qty Base Items","Totaal aantal basis-artikelen"
"Total incl. Tax: %1$s","Totaal incl. BYTW %1s"
"Total of %d record(s) were successfully deleted","In totaal is/zijn er %s record(s) met succes verwijderd"
"Total of %d record(s) were successfully updated","In totaal is/zijn er %s record(s) met succes bijgewerkt"
"Type","Type"
"Unable to complete request. Please try again later.","Kon de opdracht niet voltooien. Probeer later opnieuw a.u.b."
"Unable to find a search term to delete","Kon geen zoekterm vinden om te verwijderen"
"Unable to find an attribute to delete","Kon geen attribuut vinden om te verwijderen"
"Unable to get product id.","Kon geen product-id krijgen."
"Unassigned Attributes","Niet-toegewezen attributen"
"Unique Value","Unieke waarde"
"Unique Value (not shared with other products)","Unieke waarde (niet gedeeld met andere producten)"
"Unknown attribute: %s","Onbekend attribuut: %s"
"Up-sells","Up-sells"
"Update","Update"
"Update Attributes","Attributen updaten"
"Update Tier Price","Staffelprijs bijwerken"
"Update assigned product","Toegewezen product updaten"
"Update attributes","Atttributen updaten"
"Update category","Categorie updaten"
"Update product","Product updaten"
"Update product image","Productafbeelding updaten"
"Update product link","Productlink updaten"
"Update product tier prices","Staffelprijzen product updaten"
"Upload new product image","Nieuwe productafbeelding uploaden"
"Url","URL"
"Url Rewrite Management","Beheer URL-rewrites"
"Url rewrie save problem.","Opslagprobleem URL-rewrite"
"Use Config Settings","Configuratie-instellingen gebruiken"
"Use Default Value","Standaardwaarden gebruiken"
"Use In Layered Navigation","Gebruik in gelaagde navigatie"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gebruiken in gelaagde navigatie<br />(alleen mogelijk met catalogus-veldtype ‘Dropdown’)"
"Use In Search Results Layered Navigation","Gebruiken in zoekresultaten van gelaagde navigatie"
"Use To Create Configurable Product","Gebruiken om configureerbaar product aan te maken"
"Use categories path for product URLs","Categorieënpad voor product-URL’s gebruiken"
"Use in advanced search","Gebruiken in geavanceerd zoeken"
"Use in quick search","Gebruiken in Snel zoeken"
"Values Required","Verplichte waarden"
"Varchar","Varchar"
"View as","Tonen als"
"Virtual Product","Virtueel product"
"Visibility","Zichtbaarheid"
"Visible","Zichtbaar"
"Visible on Catalog Pages on Front-end","Zichtbaar op cataloguspagina's in front-end"
"Watermark","Watermerk"
"Watermark Default Size","Standaard-grootte van watermerk"
"Watermark Position","Plaats van watermerk"
"We Also Recommend","Ook aanbevolen"
"Website","Website"
"Websites","Websites"
"Yes","Ja"
"Yes/No","Ja/Nee"
"You cannot delete this attribute","U kunt dit attribuut niet verwijderen"
"You cannot edit this attribute","U kunt dit attribuut niet bewerken"
"You cannot remove system attribute from this set.","U kunt dit systeem-attribuut niet verwijderen uit deze set."
"You cannot update this attribute","U kunt dit attribuut niet updaten"
"You have no items to compare.","Geen producten geselecteerd."
"You may also be interested in the following product(s)","U bent wellicht ook geïnteresseerd in de volgende producten:"
"Zoom In","Inzoomen"
"Zoom Out","Uitzoomen"
"[GLOBAL]","[GLOBAAL]"
"and","en"
"and above","en hoger"
"cache refresh needed","Cache moet ververst worden"
"categories","Categorieë n"
"comma separated","komma-gescheiden"
"each","elk"
"ex. http://domain.com","bijv. http://domein.nl"
"must be in the allowed values list","moet in de lijst van toegestane waarden staan"
"per page","per pagina"
"products","Producten"
"save","bespaar"
"select all","Alles selecteren"
"unselect all","De-selecteer alles"
"© 2008 Magento Demo Store. All Rights Reserved.","© 2008 Magento Demo Store. All Rights Reserved."
"(ver. %s)","(versie %s)"
"Click <a href=""%s"">here</a> if nothing has happened","Klik <a href=""%s"">hier</a> als er niets gebeurt"
"Close Window","Sluit venster"
"Default Description","Standaard-omschrijving"
"Default welcome msg!","Standaard-welkomstbericht"
"Help Us to Keep Magento Healthy","Help ons Magento gezond te houden."
"Interface Language","Interface-taal"
"Items %1-%2 of %3 total","Artikelen %1-%2 van %3 in totaal"
"%1 Item","%1 Artikel"
"%1 Items","%1 Artikelen"
"Next Page","Volgende pagina"
"Page","Pagina"
"Previous Page","Vorige pagina"
"Redirecting...","Bezig met doorverwijzen..."
"Report All Bugs","Meld alle bugs."
"Select Store","Selecteer winkel"
"Select Store:","Selecteer winkel"
"Skip to Footer","Direct naar footer"
"Skip to Left Column","Direct naar linker kolom"
"Skip to Main Content","Ga direct naar hoofd-inhoud"
"Skip to Right Column","Direct naar rechter kolom"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dit is een demo-winkel. Een geplaatste bestelling zal niet worden verwerkt."
"Welcome, %s!","Welkom, %s!"
"You're currently on:","U bent momenteel op:"
"Your Language","Uw taal"
"Your Language:","Uw taal:"
"The subscription has been removed.","U bent nu uitgeschreven van de nieuwsbrief"
"Coupon code was canceled.","Kortingscode is geannuleerd."
"On working days: Order before 5pm, shipped today","Op werkdagen voor 17 uur besteld, morgen in huis"
"On working days: Order before 4pm, shipped today","Op werkdagen voor 16 uur besteld, morgen in huis"
"On working days: Order before 3pm, shipped today","Op werkdagen voor 15 uur besteld, morgen in huis"
"On working days: Order before 1pm, shipped today","Op werkdagen voor 13 uur besteld, morgen in huis"
"On working days: Order today, shipped tomorrow","Vandaag besteld; volgende werkdag verzonden"
"On working days: Order before 4pm, shipped tomorrow","Op werkdagen voor 16 uur besteld, morgen verstuurd"
"Order today and it will be shipped on","Bestel vandaag en je product wordt verzonden op "
"Order today and it will be shipped in 3 days","Bestel vandaag en we verzenden het binnen 3 dagen!"
"Order today and it will be shipped in 5 days","Bestel vandaag en we verzenden het binnen 5 dagen!"
"Order today and it will be shipped in 8 days","Bestel vandaag en we verzenden het binnen 8 dagen!"
"Order today and it will be shipped in 10 days","Bestel vandaag en we verzenden het binnen 10 dagen!"
"shipping date","Wordt verstuurd op"
"Free Shipping","Gratis verzending"
"Shipped in 3 working days","Verzonden binnen 3 werkdagen"
"The","De optie"
"is currently not in stock and will be shipped on","is momenteel niet op voorraad en wordt verstuurd op"
"Comic","Iconen"
"smartcover with SmartCase (hard case at the back)","smartcover met Smartcase (harde case aan de achterkant)"
"You have not set a default billing address.","Er is nog geen factuuradres ingesteld."
"Name","Naam"
"Email address","Emailadres"
"Telephone","Telefoonnummer"
"Type device and Quantity","Type toestel en hoeveelheid"
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Alleen getallen toegestaan. Geen leestekens, spaties, punten of streepjes"
"Text length does not satisfy specified text range.","Telefoonnummer moet bestaan uit minimaal 10 nummers"
"Happy with your design, share it!","Trots op je ontwerp? Deel het op facebook!"
"Your design has been shared, thanks!","Je ontwerp is gedeeld, leuk!"
"Sharing your design has failed, please try again.","Het delen is helaas niet gelukt, probeer het op opnieuw."
"Add the following to your order:","Voeg toe aan je bestelling:"
"quotetitle", "Sales"
"Select pickup location","Selecteer afhaallocatie"
"Pick Up Location","Afhaallocatie"
"No, stay on Gocustomized %s.","Nee, blijf op Gocustomized %s."
"Yes, please go to Gocustomized %s.","Ja, ga naar Gocustomized %s."
"We've detected that you are visiting us from %s. Do you want to go to the website of GoCustomized %s?","We hebben gedetecteerd dat je ons bezoekt vanuit %s. Wil naar de website van Gocustomized %s?"
"Select Color","Selecteer een kleur"
"%s was added to your shopping cart.","%s is toegevoegd aan uw winkelwagen."
"Address 1","Straat"
"Address 2","Aanvulling adres"
"Type of order","Type bestelling"
"Private","Particulier"
"Business","Zakelijk"
"VAT Number","BTW nummer"
"Gender","Geslacht"
"TELEFOONNUMMER","Telefoonnummer"
"Company (not mandatory)","Bedrijf (optioneel)"
"Type the letters below","Typ de onderstaande letters"
"Contact with Gocustomized support","Hulp nodig? Neem hier contact met ons op"
"Please include as much detail as possible","Contact"
"Please tell us your issue","Hoe kunnen we je helpen?"
"Do you have an account?","Heb je een account?"
"I have a question about","Ik heb hulp nodig met"
"Hi %s, Please include as much detail as possible","Hi %s, specificeer je support aanvraag"
"Hi %s, Tell us your issue","Hi %s, hoe kunnen we je helpen?"
"My product(s)","Mijn ontvangen product(en)"
"My shipment","Mijn verzending"
"Please select an issue","Maak alsjeblieft een keuze"
"Please fill in the required fields","Vul alsjeblieft alle velden in"
"Order number","Wat is je order nummer?"
"Question related to","Mijn ondersteuning heeft te maken met:"
"Upload an image","Upload een foto van het probleem"
"Description of the issue","Opmerkingen"
"for example","bijvoorbeeld"
"Print quality","Ik ben niet tevreden met de print (kleur, afmeting, kwaliteit)"
"Product quality (item)","Gebroken of beschadigde producten"
"change","wijzig"
"Search for help by topic, keywords","Populaire onderwerpen: verzending, retour, betaling"
"Popular topics:","Populaire onderwerpen:"
"return","retour"
"shipping","verzending"
"payment","betaling"
"Topics", "Onderwerpen"
"Thanks for reaching out to us we'll soon be in contact.","Bedankt voor je bericht. We nemen contact op met je."
"Didn't find what you're looking for?","Hebben we je nog niet kunnen helpen? Neem contact met ons op voor direct support."
"contact us","neem contact op"
"No search results faq","Het spijt ons, we konden geen resultaten vinden op basis van uw zoekopdracht."
"How can we help you?","Hoe kunnen we je helpen?"
"Type the letters below","Typ de onderstaande letters"
"This email address is already in use","Dit e-mail adres is al in gebruik"
"You have not set a default shipping address","U heeft geen standaard verzendadres ingesteld"
"My applications","Mijn toepassingen"
"This email address is already assigned to another user","Dit e-mailadres is al aan een andere gebruiker toegewezen"
"Other","Overig"
"You are now logged out","Je bent nu uitgelogd"
"Package not yet arrived","Pakketje nog niet aangekomen"
"Request to change delivery address","Verzoek adreswijziging"
"Request for cancellation","Verzoek annuleren bestelling"
"Wrong product (does not fit)","Verkeerde product(en) (het past niet)"
"It is not what I expected","Het is niet wat ik had verwacht!"
"My preferred solution","Gewenste oplossing"
"Not (yet) a customer? You can get in contact with our support team %s","Ben je nog geen klant of heb je een algemene vraag? Neem %s contact met ons op"
"here","hier"
"Search entire store here...","Zoek hier de hele winkel..."
"Delivery and payment","Afrekenen"
"Type of order","Type bestelling:"
"Private","Particulier"
"Business","Zakelijk"
"Phone Number","Telefoonnummer"
"My billing and shipping address are the same","Mijn factuur-en afleveradres zijn hetzelfde"
"Apply Discount Code","Kortingcodes"
"Enter discount code","Voer een kortingscode in als je die hebt gekregen"
"Apply Discount","Kortingsbon gebruiken"
"Checkout Review","Evaluatie Betaling"
"Shipping","Verzending en afhandeling"
"Quantity","Stuks"
"Cart Subtotal","Subtotaal Winkelwagen"
"Existing customer? Log in to your account","Al klant? Log dan in op uw account"
"Start typing your address or zip/postal code","Begin met het typen van uw adres of postcode"
"Not yet calculated","Nog niet berekend"
"Street Name","Adres"
"House Number","Huisnr."
"House number and addition","Huisnr."
"Additional Address","Toev."
"Newsletter Subscriptions", "Nieuwsbrief Abonnementen"
"Privacy Settings", "Privacy instellingen"
"Select location","Selecteer een locatie"
"To place your order, you must agree to the terms and conditions.","Om uw bestelling te plaatsen, moet u akkoord gaan met de algemene voorwaarden."
"Enter Keyword or Item","Voer trefwoord of item in"
"Bestsellers", "Meest Verkocht"
"Your search returned no products.","Uw zoekopdracht heeft geen producten opgeleverd."
"Search results for: '%1'","Zoekresultaten voor: '%1'"
"Recently Viewed Products","Recent Bekeken Producten"
"Your search returned no results.","Je zoekopdracht heeft geen resultaten opgeleverd."
"Did you mean","Bedoelde je"
"Related Terms","Gerelateerde Termen"
"This is a required field.","Dit is een verplicht veld."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","De bestelling is niet geplaatst. Ga eerst akkoord met de algemene voorwaarden en probeer vervolgens opnieuw uw bestelling te plaatsen."
"Change Country", "Land wijzigen"
"You added %s to your shopping cart.","U heeft %s aan uw winkelwagen toegevoegd."
"You added %1 to your shopping cart.","U heeft %1 aan uw winkelwagen toegevoegd."
"We can't add this item to your shopping cart right now.","We kunnen dit artikel nu niet aan je winkelwagen toevoegen."
"Print receipt", "Printbon"
"Your order # is: %1.", "Uw bestelnummer is: %1."
"We'll email you an order confirmation with details and tracking info.", "We sturen je een orderbevestiging met details en trackinginformatie."
"We expect to ship your order on %1 and your order will be delivered on %2.", "We verwachten uw bestelling op %1 te verzenden en uw bestelling wordt geleverd op %2."
"We expect to ship your order on %1 and your order will be delivered between %2 and %3.", "We verwachten uw bestelling op %1 te verzenden en uw bestelling zal tussen %2 en %3 worden bezorgd."
"We expect to ship your order on %1.", "We verwachten uw bestelling op %1 te verzenden."
"The requested qty exceeds the maximum qty allowed in shopping cart","De gevraagde hoeveelheid overschrijdt de maximaal toegestane hoeveelheid in het winkelwagentje"
"Are you sure you would like to remove this item from the shopping cart?","Weet je zeker dat je dit artikel uit de winkelwagen wilt verwijderen?"
"The shipping method is missing. Select the shipping method and try again.","De verzendmethode ontbreekt. Selecteer de verzendmethode en probeer het opnieuw."
"Back to Store","Terug naar winkel"
"For delivery questions.","Voor leveringsvragen."
"Ship here","Schip hier"
"Some addresses can't be used due to the configurations for specific countries.","Sommige adressen kunnen niet worden gebruikt vanwege de configuraties voor specifieke landen."
"An error occurred on the server. Please try to place the order again.","Er is een fout opgetreden op de server. Probeer de bestelling opnieuw te plaatsen."
"Submit chosen location","Gekozen locatie indienen"
"Pickup locations found","Ophaallocaties gevonden"
"Filter pickup locations","Ophaallocaties filteren"
"Postcode, city, street, house","Postcode, stad, straat, huis"
"Late open (after: 18:00)","Laat open (na: 18:00)"
"Open early (before 9:00)","Vroeg open (vóór 9.00 uur)"
"Open on Sunday","Open op zondag"
"Choose a pickup location","Kies een ophaallocatie"
"I would like to receive a new one","Ik ontvang graag nieuw(e) product(en)"
"I would like to get a refund","Ik ontvang graag mijn geld terug"
"Select subcategory", "Selecteer subcategorie"
"Choose your solution", "Kies oplossing"
"Print quality","Print kwaliteit"
"Product quality (item)","Productkwaliteit (artikel)"
"Wrong product (does not fit)","Verkeerd product (past niet)"
"It is not what I expected","Het is niet wat ik had verwacht"
"Package not yet arrived","Pakket nog niet aangekomen"
"Choose another Topic","Kies een ander onderwerp"
"Need help? Contact us here","Hulp nodig? Neem hier contact met ons op"
"Contact with Gocustomized support", "Contact met Gocustomized ondersteuning"
"Hi %1, please specify your support request", "Hi %1, specificeer je support aanvraag"
"Hi %1, how can we help you?", "Hi %1, hoe kunnen we je helpen?"
"I need assistance with", "Ik heb hulp nodig met"
"My received product(s)", "Mijn ontvangen product(en)"
"My delivery", "Mijn verzending"
"Cancel order", "Bestelling annuleren"
"Others", "Overig"
"Please select your question or complaint", "Maak alsjeblieft een keuze"
"Contact", "Contact"
"How can we help you?", "Hoe kunnen wij u helpen?"
"DIRECT CUSTOMER SUPPORT","KLANT SUPPORT"
"Login", "Inloggen"
"Please login to continue with direct support.", "Log in om door te gaan met directe ondersteuning."
"Not (yet) a customer? You can get in contact with our support team <a href=""javascript:otherQuestion()"">here</a>", "Ben je nog geen klant of heb je een algemene vraag? Neem <a href=""javascript:otherQuestion()"">hier</a> contact met ons op"
"Next", "Volgende"
"Other", "Overig"
"change", "wijzig"
"Please fill in the required fields", "Vul alsjeblieft alle velden in"
"View all topics","Alle onderwerpen..."
"Please note that we can only cancel your order if we did not start printing and shipping your product.", "Let op: we kunnen je bestelling alleen annuleren als deze nog niet geprint of verzonden is."
"Which house number do you mean?","Welk huisnummer bedoel je?"
"Cash On Delivery","Onder Rembours"
"Credit Card","Kredietkaart"
"Shipping & Handling","Verzend en Behandelkosten"
"Go back","Ga terug"
"You aren't subscribed to our newsletter.","Momenteel bent u niet op een nieuwsbrief geabonneerd."
"VAT number","BTW nummer"
"It's a default billing address.","Het is een standaard factuuradres."
"It's a default shipping address.","Het is een standaard verzendadres."
"You have placed no orders.","U heeft geen bestellingen geplaatst."
"Subscription option","Abonnement optie"
"Read Privacy Policy","Lees het privacybeleid"
"Read Cookie Policy","Cookiebeleid lezen"
"Download personal data","Persoonlijke gegevens downloaden"
"Here you can download a copy of your personal data which we store for your account in CSV format.","Hier kunt u een kopie downloaden van uw persoonlijke gegevens die wij voor uw account opslaan in CSV-indeling."
"Download","Downloaden"
"Anonymise personal data","Anonimiseer persoonsgegevens"
"Anonymising your personal data means that it will be replaced with non-personal anonymous information and before that you will get your new login to your e-mail address (your password will stay the same). After this process, your e-mail address and all other personal data will be removed from the website.","Het anonimiseren van uw persoonlijke gegevens betekent dat deze worden vervangen door niet-persoonlijke anonieme informatie en daarvoor krijgt u uw nieuwe login op uw e-mailadres (uw wachtwoord blijft hetzelfde). Na dit proces worden uw e-mailadres en alle andere persoonlijke gegevens van de website verwijderd."
"I agree and I want to proceed","Ik ga akkoord en ik wil doorgaan"
"Proceed","Doorgaan"
"Delete account","Account verwijderen"
"I understand and I want to delete my account","Ik begrijp het en ik wil mijn account verwijderen"
"Submit request","Aanvraag indienen"
"Anonymising your personal data means that it will be replaced
                        with non-personal anonymous information and before that you will get your
                        new login to your e-mail address (your password will stay the same). After this process,
                        your e-mail address and all other personal data will be removed from the website.","Het anonimiseren van uw persoonsgegevens betekent dat deze worden vervangen
                        met niet-persoonlijke anonieme informatie en daarvoor krijgt u uw
                        nieuwe login op uw e-mailadres (uw wachtwoord blijft hetzelfde). Na dit proces,
                        uw e-mailadres en alle overige persoonsgegevens worden van de website verwijderd."
"Request to remove your account, together with all your personal data,
                         will be processed by our staff.<br>Deleting your account will remove all the purchase
                         history, discounts, orders, invoices and all other information that might be related to your
                         account or your purchases.<br>All your orders and similar information will be
                         lost.<br>You will not be able to restore access to your account after
                         we approve your removal request.","Verzoek om uw account te verwijderen, samen met al uw persoonlijke gegevens,
                         wordt door onze medewerkers verwerkt.<br>Als u uw account verwijdert, worden alle aankopen verwijderd
                         geschiedenis, kortingen, bestellingen, facturen en alle andere informatie die te maken kan hebben met uw
                         account of uw aankopen.<br>Al uw bestellingen en soortgelijke informatie worden
                         verloren.<br>U kunt de toegang tot uw account hierna niet meer herstellen
                         we keuren uw verwijderingsverzoek goed."
"Policies text","Beleidstekst"
"You have no other address entries in your address book.","U heeft geen andere adresvermeldingen in uw adresboek."
"%1 Item(s)","%1 artikel(en)"
"You saved the account information.","U heeft de accountgegevens opgeslagen."
"Please select a region, state or province.","Selecteer een regio, staat of provincie."
"You updated your password.","Je hebt je wachtwoord bijgewerkt."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Als er een account aan %1 is gekoppeld, ontvangt u een e-mail met een link om uw wachtwoord opnieuw in te stellen."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Als er een account aan %s is gekoppeld, ontvangt u een e-mail met een link om uw wachtwoord opnieuw in te stellen."
"Ship To","Verzend naar"
"Reorder","Opnieuw ordenen"
"Recently Ordered","Onlangs besteld"
"View All","Bekijk alles"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","De accountaanmelding was onjuist of uw account is tijdelijk uitgeschakeld. Even geduld a.u.b. en probeer het later opnieuw."
"Login and password are required.","Login en wachtwoord zijn vereist."
"You will be redirected to the PayPal website.","U wordt doorgestuurd naar de PayPal-website."
"Select Store:","Selecteer winkel:"
"Items Ordered","Artikelen besteld"
"Order information","Order informatie"
"You have signed out and will go to our homepage in 5 seconds.","U bent uitgelogd en gaat binnen 5 seconden naar onze homepage."
"You have not set a default shipping address.","U heeft geen standaard verzendadres ingesteld."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","De minimale lengte van dit veld moet gelijk zijn aan of groter zijn dan %1 symbolen. Voorloop- en volgspaties worden genegeerd."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Het minimum aantal verschillende klassen van tekens in het wachtwoord is %1. Klassen van tekens: kleine letters, hoofdletters, cijfers, speciale tekens."
"Please enter the same value again.","Voer dezelfde waarde nogmaals in."
"The minimum password length is %s","De minimale wachtwoordlengte is %s"
"Please enter your email address below to receive a password reset link.","Voer hieronder uw e-mailadres in om een ​​link voor het opnieuw instellen van uw wachtwoord te ontvangen."
"Set a New Password","Stel een nieuw wachtwoord in"
"Welcome to","Welkom bij"
"Welcome to %store_name.","Welkom bij %store_name."
"Welcome to %store_name","Welkom bij %store_name"
"Welcome to %s.","Welkom bij %s."
"Welcome to %1.","Welkom bij %1."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Om je te registreren en een wachtwoord aan te maken, klik op de volgende <a href=""%create_password_url"">link</a>:"
"To sign in to our site and set a password, click on the <a href=""%s"">link</a>:","Om je te registreren en een wachtwoord aan te maken, klik op de volgende <a href=""%s"">link</a>:"
"To sign in to our site and set a password, click on the <a href=""%1"">link</a>:","Om je te registreren en een wachtwoord aan te maken, klik op de volgende <a href=""%1"">link</a>:"
"Email:","Email:"
"When you sign in to your account, you will be able to:","Door je te registreren kun je:"
"Proceed through checkout faster","Het betalingsproces sneller doorlopen"
"Check the status of orders","De status van je orders bekijken"
"View past orders","Vorige bestellingen bekijken"
