"Design now!","¡Personalízala ya!"
"Last name can't be empty","Los apellidos no pueden estar vacíos"
"Invalid customer data","Los datos del cliente son inválidos"
"M.I.","M.I."
"Shipping Method","Método de envío"
"Payment Method","Método de pago"
"Month","Mes"
"My Account Dashboard","Mi cuenta"
"My Dashboard","Mi panel de control"
"Online Minutes Interval","Minutos online"
"My Wishlist","Mis artículos de interés"
"My Tags","Mis etiquetas"
"My Reviews","Mis opiniones"
"My Orders","Mis Pedidos"
"MM","MM"
"Show middle name (initial)","Mostrar apellidos (inicial)"
"Show date of birth","Mostrar fecha de aniversario"
"Show Tax/VAT number","Mostrar número de impuestos"
"Show prefix","Mostrar Tratamiento"
"Show suffix","Mostrar sufijo"
"n/a","n/d"
"Tax/VAT number","Número de impuestos"
"TAX/VAT number is required.","Número de impuestos requerido"
"Number of lines in a street address ","Número de líneas en la dirección"
"You have not set a primary shipping address.","No ha indicado una dirección de envío principal."
"You have not set a primary billing address.","No ha indicado una dirección de facturación principal."
"There are no items in customer's shopping cart at the moment","No hay artículos en el carrito de la compra del cliente en este momento"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","No puede compartir las cuentas de los clientes globales. Debido a que algunas cuentas de clientes con los mismos mensajes de correo electrónico existentes en varios sitios web y no se pueden combinar."
"No Items Found","No se encontraron artículos"
"No Newsletter Found","No se encontraron boletines de noticias"
"No product collections found","No se encontraron colecciones de productos"
"Not Sent","No se envió"
"Not confirmed, can login","No se ha confirmado, debe identificarse"
"Not confirmed, cannot login","No se ha confirmado, no puede identificarse"
"No item specified.","No se ha especificado ningún item"
"Can't save customer","No se puede guardar el cliente"
"Can't save address","No se puede guardar la dirección"
"You have no additional address entries in your address book.","No tiene direcciones adicionales en su libreta de direcciones."
"You have no additional entries in your address book.","No tiene entradas adicionales en su libreta de direcciones."
"You have no primary entries in your address book.","No tiene entradas principales en su libreta de direcciones."
"You have no default shipping address in your address book.","No tiene una dirección de envío por defecto en su libreta de direcciones."
"You have no default billing address in your address book.","No tiene una dirección de facturación por defecto en su libreta de direcciones."
"Name","Nombre"
"First Name","Nombre"
"Bill to Name","Nombre de la cuenta"
"Tag Name","Nombre de la etiqueta"
"Group Name","Nombre del grupo"
"Product name","Producto"
"Missing firstname, skipping the record","Nombre perdido, se omite el registro"
"New Password","Nueva Contraseña"
"New account","Nueva cuenta"
"New Customer Address","Nueva dirección del cliente"
"New Address Entry","Nueva entrada de dirección"
"New password","Nuevo password"
"New Customer","Nuevo cliente"
"New Group","Nuevo grupo"
"New Customer Group","Nuevo grupo de clientes"
"New Customer Groups","Nuevos grupos de clientes"
"Never","Nunca"
"or","o"
"Forgot Your Password","Olvidó su contraseña"
"Forgot Your Password?","Olvidó su contraseña?"
"Skip import row, website ""%s"" field not exists","Omitir la fila de importación. El campo del sitio web ""%s"" no existe."
"Skip import row, required field ""%s"" not defined","Omitir la fila de importación. El campo requerido ""%s"" no está definido."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opción de atributo inválida para el atributo  %s (%s), se omite el registro"
"Password Options","Opciones de la contraseña"
"Prefix dropdown options","Opciones desplegables del Tratamiento"
"Suffix dropdown options","Opciones desplegables del sufijo"
"Name and Address Options","Opciones nombre y dirección"
"Online Customers Options","Opciones online del cliente"
"Account Sharing Options","Opciones para compartir la cuenta"
"Country","País"
"Wrong confirmation key.","Palabra clave de confirmación errónea"
"New account confirmation key","Palabra clave nueva cuenta de confirmación"
"Account Dashboard","Panel de Control"
"PDF","PDF"
"Order #","Pedido #"
"Order #%s (%s)","Pedido #%s (%s)"
"Items Order","Pedido de artículos"
"Orders","Pedidos"
"Recent Orders","Pedidos recientes"
"Pending","Pendiente"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Leave empty for default (2). Valid range: 1-4","Por defecto dejar en blanco  (2). Rango válido: 1-4"
"Leave empty for default (15 minutes).","Por defecto dejar en blanco (15 minutos)"
"There are no items in customer's wishlist at the moment","Por el momento no hay artículos en la lista de deseos"
"Please select","Por favor seleccione"
"Please, check your e-mail for confirmation key.","Por favor, consulta tu correo para validar la palabra clave"
"Please enter your email.","Por favor, ingresa tu dirección de correo electrónico."
"Please select region, state or province","Por favor, selecciona una región, estado o provincia"
"Per Website","Por sitio web"
"Ext. Price","Precio Ext."
"Prefix","Tratamiento"
"Product","Producto"
"Average Sale","Promedio de ventas"
"Remove","Quitar"
"Password forgotten","Recordatorio de password"
"Retrieve customers","Recuperar clientes"
"Retrieve address data","Recuperar datos de dirección"
"Retrieve address info","Recuperar dirección"
"Retrieve customer addresses","Recuperar dirección del cliente"
"Retrieve customers info","Recuperar información del cliente"
"Retrieve customer data","Recuperar los datos de los clientes"
"Retrieve customer's groups","Recuperar los grupos de clientes"
"Retrieve your confirmation link here","Recuperar su vínculo de confirmación"
"Retrieve your password here","Recupera su contraseña aquí"
"Records for ""","Registros para """
"First name can't be empty","Rellene el campo nombre"
"Email Sender","Remitente de correo electrónico"
"Forgot Email Sender","Remitente para recordatorio de correo electrónico"
"Customers Only","Sólo clientes"
"Visitors Only","Sólo visitantes"
"A new password was sent","Se envió una nueva contraseña"
"Customer collection expected","Se esperaba colección de Cliente"
"Array of Entity collections is expected","Se esperaba una cadena de colecciones de entidad"
"Entity collection is expected","Se esperaba una colección de Entidad"
"There was an error while deleting the address","Se produjo un error al borrar la dirección"
"Login and password are required","Se requieren la identificación y la contraseña"
"Subscribed to Newsletter?","Se suscribió al boletín de noticias?"
"Customers Section","Sección"
"Are you sure you want to delete this address?","Seguro que desea borrar esta dirección?"
"Are you sure you want to cancel adding of this address?","Seguro que desea cancelar el añadido de esta dirección?"
"Are you sure that you want to remove this item?","Seguro que desea quitar este artículo?"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Always optional","Siempre opcional"
"Website","Sitio web"
"Bad request.","Solicitud incorrecta"
"Newsletter Subscription","Suscripción al boletín de noticias"
"Suffix","Sufijo"
"The suffix that goes after name (Jr., Sr., etc.)","Sufijo que va después del nombre  (Jr., Sr., etc.)"
"Subscribe","Suscribirse"
"Subscribe to newsletter","Suscribirse al boletín de noticias"
"Subscribe to Newsletter","Suscribirse al boletín de noticias"
"General Subscription","Suscripción general"
"The title that goes before name (Mr., Mrs., etc.)","Título antes del nombre (Mr., Mrs., etc.)"
"Telephone","Teléfono"
"Text","Texto"
"Text One Line","Texto de una línea"
"Store","Tienda"
"Invalid store specified, skipping the record","Tienda inválida, se omite el registro"
"Deleted Stores","Tiendas borradas"
"Type","Tipo"
"Wrong transactional account email type.","Tipo de cuenta de correo erróneo"
"All Store Views","Todas las vistas de tienda"
"All countries","Todos los países"
"Order Total","Total general"
"Last Activity","Última actividad"
"Last date unsubscribed","Última fecha que se dio de baja la suscripción"
"Last date subscribed","Última fecha de suscripción"
"Last Url","Última URL"
"Last 5 Orders","Últimos 5 Pedidos"
"Last Viewed Items","Ultimos artículos vistos"
"Use as my default shipping address","Usar como mi dirección de envíos por defecto"
"Use as my default billing address","Usar como mi dirección de facturación por defecto"
"Use as My Primary %s Address","Usar como mi principal %s dirección"
"Invalid login or password.","Usuario o password no correctos"
"View","Ver"
"View Order List","Ver lista de Pedidos"
"View Order","Ver Pedido"
"Visible In","Visible en"
"Visitor","Visitante"
"Customer View","Vista de cliente"
"Store View","Vista de tienda"
"Back to Login","Volver al Inicio de sesión"
"XML","XML"
"YYYY","YYYY"
"Probablemente le interesen también los siguientes artículos:","Probablemente te interesen también los siguientes artículos:"
"Impuestos","IVA"
"© 2008 Magento Demo Store. All Rights Reserved.","© 2008 Magento Demo Store. Todos los derechos reservados."
"(Shift-)Click or drag to change value","(Shift-) Clicar o arrastrar para cambiar el valor"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click en cualquier parte para incrementar"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenga el botón del ratón sobre cualquiera de los botones de arriba para acelerar la selección."
"- or click and drag for faster selection.","- o  clicar y arrastrar para acelerar la selección."
"- or Shift-click to decrease it","- o Shift-click para disminuir"
"- Use the %s, %s buttons to select year","-Utiliza %s, %s selecciona el año"
"About the calendar","Acerca del calendario"
"You're currently on:","Actualmente se encuentra en:"
"Drag to move","Arrastrar para mover"
"Items %1-%2 of %3 total","Elementos %1-%2 de un total de %3"
"%1 Item","%1 Articulo"
"%1 Items","%1 Artículos"
"Help Us to Keep Magento Healthy","Ayúdenos a mantener saludable a Magento"
"Welcome, %s!","Bienvenido, %s!"
"Close","Cerrar"
"Close Window","Cerrar la ventana"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">aquí</a> si no ha pasado nada"
"Default Description","Descripción por defecto"
"Distributed under GNU LGPL. See %s for details.","Distribuido con licencia GNU LGPL. Ver %s para más detalles"
"Next month (hold for menu)","El mes que viene"
"Next year (hold for menu)","El próximo año"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostración. Cualquier pedido realizado a través de esta tienda no será procesado ni atendido."
"Your Language","Idioma"
"Interface Language","Idioma de la interfase"
"Your Language:","Idioma:"
"Report All Bugs","Informar todos los errores"
"Skip to Main Content","Ir directamente al contenido principal"
"Go Today","Ir hoy"
"For latest version visit: %s","La última versión visitada: %s"
"Default welcome msg!","Mensaje por defecto de bienvenida!"
"Display %s first","Mostrar %s primero"
"Previous Page","Página anterior"
"Next Page","Página siguiente"
"Page","Página"
"Redirecting...","Redirigiendo ..."
"Skip to Right Column","Saltar a la columna de la derecha"
"Skip to Left Column","Saltar a la columna de la izquierda"
"Skip to Footer","Saltar a pie de página"
"Date selection:","Selección  de fecha:"
"Select date","Seleccionar fecha"
"Select Store","Seleccionar tienda"
"Select Store:","Seleccionar tienda"
"DHTML Date/Time Selector","Selector DHTML Fecha/Tiempo"
"Time selection:","Tiempo de selección:"
"Time:","Tiempo:"
"- Use the %s buttons to select month","Utiliza %s para seleccionar el mes"
"Prev. year (hold for menu)","Visualizar año"
"Prev. month (hold for menu)","Visualizar mes"
"Vragen & contact","FAQ's & Contacto"
"BESTSELLERS","Los Más Vendidos"
"Ervaringen en reviews","Opiniones y valoración"
"Vind snel jouw hoesje of cover!","¡Encuentra fácilmente lo que buscas!"
"Nieuwe klanten","Nuevo usuario"
"Ik ben al klant","Ya soy usuario registrado"
"MAAK EEN ACCOUNT AAN","CREAR CUENTA"
"De heer","Sr."
"Mevrouw","Sra."
"DEFAULT BILLING ADDRESS","DIRECCIóN DE FACTURACIóN POR DEFECTO"
"You have not set a default billing address.","No has establecido todavía una dirección de facturación."
"DEFAULT SHIPPING ADDRESS","DIRECCIóN DE ENVíO POR DEFECTO"
"You have not set a default shipping address.","No has establecido todavía una dirección de envío."
"Mijn account","Mi Cuenta"
"Logout","Cerrar sesión"
"Street Name","Nombre de la calle"
"House Number","Número de casa"
"Additional Address","Dirección adicional"
"Ontwerp nu!","¡Personalízala ya!"
"SORRY!","LO SENTIMOS"
"De pagina die u zoekt bestaat niet (meer).","La página solicitada ya no existe."
"Wat nu?","¿Qué puedo hacer?"
"Op onze homepage kunt u zoeken naar het product waar nu naar op zoek bent.","En nuestra página web de inicio puedes buscar de nuevo el producto."
"GA TERUG","Volver atrás"
"HOMEPAGE","Página de inicio"
"%s is toegevoegd aan uw winkelwagen.","%s se ha añadido al carrito."
"%s was added to your shopping cart.","%s se ha añadido al carrito."
"3 millimeter marge aanhouden rond alle randen","Respetar un margen de 3mm entre  elementos importantes del diseño  y  bordes y ranuras de la carcasa"
"Plaats hier geen belangrijke gegevens.","No envíe información importante."
"De kwaliteit van de foto bepaalt het eindresultaat. Zoals de foto op het scherm wordt weergegeven is ook het eindresultaat.","La calidad de la imagen subida definirá la calidad de impresión de la funda. Lo que ves en el módulo de diseño será impreso directamente en la funda. Por favor, tenlo en cuenta."
"Voeg hier uw tekst toe","Añade tu texto aquí"
"Controleer aub. uw ontwerp en voeg toe aan uw winkelwagen.","Por favor, comprueba tu diseño y añádelo a tu carrito."
"Wij verwerken uw bestelling. Bij grote afbeeldingen kan dit tot enkele minuten duren.","Estamos procesando tu orden. Las imágenes de gran tamaño pueden tardar hasta varios minutos."
"FAQs Search","Buscador FAQs"
"Search Faq's:","Buscador FAQ's"
"No Faqs find yet!","No hay FAQ's encontradas todavía"
"Hieronder vindt u antwoorden op veelgestelde vragen. Staat uw vraag hier niet bij? Neem dan","A continuación damos respuesta a tus preguntas frecuentes. ¿Tu pregunta no está aquí?"
"contact","Contáctanos"
"met ons op. Wij helpen u graag verder!","¡Estamos encantados de ayudarte!"
"FAQs Search Result","Resultados de la búsqueda en Preguntas frecuentes"
"No Faq Found!","No se han encontrado preguntas frecuentes para esta búsqueda"
"Verstuur","Enviar"
"Vragen en contact","Preguntas frecuentes y contacto"
"No Category find yet!","¡No hay categorías encontradas todavía!"
"Maak een account aan","Crear cuenta"
"Hello, De heer","Hola, Sr."
"Hello, Mevrouw","Hola, Sra."
"U bent nu uitgelogd","Ya está conectado"
"You have logged out and will be redirected to our homepage in 5 seconds.","Has cerrado la sesión y serás redirigido a nuestra página de inicio en 5 segundos."
"Nieuw!","¡Nuevo!"
"Andere hoesjes:","Otras fundas:"
"Maak je keuze","Haz tu elección"
"Kies een foto","Elige la imagen"
"U kunt uw eigen fotos in jpg, gif of png formaat uploaden van maximaal 6MB grootte.","Puedes utilizar tus propias imágenes en jpg o png hasta 6 MB de tamaño."
"Of kies een van onze eigen designs of kleuren","O elegir uno de nuestros propios diseños"
"Designs","Diseños"
"Comic","Iconos"
"Populair","Popular"
"Kleur","Colores"
"Voeg tekst toe","Añadir texto"
"Je eigen tekst","Escribe aquí tu texto..."
"Voeg toe","Añadir"
"Wijzig tekst","Cambiar texto"
"In winkelwagen","Añadir a la cesta"
"Controleer aub. uw ontwerp en voeg toe aan uw winkelwagen.","Por favor, comprueba tu diseño antes de añadirlo al carrito."
"Klik op foto of tekst om deze te bewerken","Haga click en la foto o el texto para editarlo"
"Winkelwagen Bijwerken","Actualizar carrito"
"Winkelwagen bijwerken","ACTUALIZAR CARRITO"
"Verder Winkelen","Continuar comprando"
"Verder winkelen","CONTINUAR COMPRANDO"
"Kortingscode","Cupón de descuento"
"optie","opción"
"ontwerp is gewijzigd","ha sido generada correctamente"
"SHOPPING CART","Carrito de la compra"
"Uw ontwerp wordt opgeslagen.","Tu diseño se está guardando"
"Afhankelijk van uw internetsnelheid en de grootte van het ontwerp kan dit tot enkele minuten duren.","Dependiendo de la velocidad de conexión a internet y el tamaño del diseño, esto puede tardar unos minutos."
"Quantity","Cantidad"
"Voer eventueel een kortingscode in","Opcionalmente puedes introducir un código de descuento"
"Afrekenen","Datos del pedido"
"TELEFOONNUMMER (10 CIJFERS)","Teléfono"
"TELEFOONNUMMER","Teléfono"
"Company (not mandatory)","Empresa (opcional)"
"Ship to the same address","Enviar a la misma dirección"
"SHIP TO THE SAME ADDRESS","ENVIAR A LA MISMA DIRECCIóN"
"Shipping","Envío"
"Total Amount","Gastos totales"
"Shipping - Total Amount","Envío - Gastos totales"
"Checkout Review","Ver Pedido"
"Click on the Faq's topic:","Haz clic en el apartado que quieras consultar"
"View all topics","Ver todos los apartados"
"No Faqs Found in this topic!","No hay preguntas en este apartado"
"CURRENTLY SHOPPING BY:","Filtro en curso:"
"SHOP BY","Filtro"
"per page","por página"
"NIEUW!","¡NUEVO!"
"Al klant? Log dan in op uw account","¿Ya eres cliente? Iniciar sesión en tu cuenta"
"Your order # is:","Tu pedido # es:"
"I agree to the General Terms and Conditions.","Acepto los Términos y Condiciones Generales."
"Al klant? Log dan in op uw account","¿Ya eres cliente? Inicia sesión en tu cuenta"
"U moet om uw bestelling te plaatsen akoord gaan met de algemene voorwaarden.","Debes aceptar los términos y condiciones generales para realizar el pedido."
"Schrijf aub uw telefoonnummer als 02012345678","Por favor escribe tu número de teléfono correctamente"
"Jouw facebook foto's","Tus fotos de Facebook"
"Selecteer een categorie en klik op een foto om deze te uploaden naar GoCustomized.com.","Selecciona una categoría y haz clic en la foto para subirla a GoCustomized.es."
"Jouw Instagram foto's","Tus fotos de Instagram."
"Klik op een foto om deze te uploaden naar GoCustomized.com","Haz clic en una foto para subirla a GoCustomized.es."
"gegraveerd","grabada"
"Gegraveerd","Grabada"
"Bruin","Marron"
"Zwart","Negro"
"Wit","Blanco"
"Transparant","Transparente"
"Smartcover zonder case","Smartcover sin carcasa"
"Met Smartcase (harde case aan de achterkant)","Smart Cover (carcasa rígida en la parte trasera)"
"Rondom bedrukt","Bordes impresos"
"Portemonnee hoesje","Monedero"
"Rood","Rojo"
"Groen","Verde"
"Geel","Amarillo"
"Azuurblauw","Azúl Claro"
"Donkergrijs","Gris oscuro"
"Matwit","Blanco"
"Blauw","Azul"
"Zelfde foto op voor- en achterkant","La misma foto en ambos lados"
"Witte achterkant","Blanco"
"Zwarte achterkant","Negro"
"Grijze achterkant","Gris"
"Oranje achterkant","Naranja"
"Rode achterkant","Rojo"
"Groene Achterkant","Verde"
"Roze achterkant","Rosa"
"Lichtblauwe achterkant","Azúl Claro"
"Met opening voor pasje","con ranuras para tarjetas"
"Met venster","Con Tapa"
"Hout","Madera"
"Mijn Winkelwagen","Mi cesta de la compra"
"Mat","Mate"
"Glanzend","Brillante"
"bruin","marron"
"zwart","negro"
"wit","blanco"
"transparant","transparente"
"smartcover zonder case","smartcover sin carcasa"
"met Smartcase (harde case aan de achterkant)","smart Cover (carcasa rígida en la parte trasera)"
"rondom bedrukt","bordes impresos"
"portemonnee hoesje","monedero"
"rood","rojo"
"groen","verde"
"geel","amarillo"
"azuurblauw","azul Claro"
"donkergrijs","gris oscuro"
"matwit","blanco"
"blauw","azul"
"zelfde foto op voor- en achterkant","la misma foto en ambos lados"
"witte achterkant","blanco"
"zwarte achterkant","negro"
"grijze achterkant","gris"
"oranje achterkant","naranja"
"rode achterkant","rojo"
"groene Achterkant","verde"
"roze achterkant","rosa"
"lichtblauwe achterkant","azul Claro"
"met opening voor pasje","con ranuras para tarjetas"
"met venster","con Tapa"
"hout","madera"
"mijn Winkelwagen","mi cesta de la compra"
"mat","mate"
"glanzend","brillante"
"Mat","Mate"
"Glanzend","Brillante"
"Kurk","Corcho"
"Zilver","Plateado"
"Rosé Goud","Rosa Dorado"
"zilver","plateado"
"rosé Goud","rosa Dorado"
"You have cancelled the order. Please try again","Ha cancelado el pedido. Por favor, pruebe de nuevo"
"On working days: Order before 5pm, shipped today","En días laborables: Pedidos antes de las 17:00, enviados el mismo día"
"On working days: Order before 4pm, shipped today","En días laborables: Pedidos antes de las 16:00, enviados el mismo día"
"On working days: Order before 3pm, shipped today","En días laborables: Pedidos antes de las 15:00, enviados el mismo día"
"On working days: Order before 1pm, shipped today","En días laborables: Pedidos antes de las 13:00, enviados el mismo día"
"On working days: Order before 4pm, shipped tomorrow","En días laborables: Pedidos antes de las 16.00, enviados al día siguiente."
"On working days: Order today, shipped tomorrow","En días laborables: Pide hoy y enviamos mañana"
"Order today and it will be shipped on","Pide hoy y será enviado el"
"Order today and it will be shipped in 3 days","Pide ahora y será enviada en 3 días"
"Order today and it will be shipped in 5 days","Pide ahora y será enviada en 5 días"
"Order today and it will be shipped in 8 days","Pide ahora y será enviada en 8 días"
"Order today and it will be shipped in 10 days","Pide ahora y será enviada en 10 días"
"shipping date","Fecha de envío"
"Shipped in 3 working days","Envío en 3 días laborables"
"What is Paypal?","¿Qué es Paypal?"
"Ship To","Enviado a"
"Reordenar","Volver a pedir"
"Vraag direct een vrijblijvende offerte aan!","Solicite presupuesto sin compromiso"
"Insteekhoes / sleeve","Bolsa neopreno"
"The","La opción"
"is currently not in stock and will be shipped on","se encuentra en estos momentos fuera de stock y será enviado el"
"U moet %sinloggen%s met dit emailadres om te bestellen of een %sander emailadres%s gebruiken om uw bestelling te voltooien.","Debes %sentrar%s con esta dirección de correo para hacer un pedido o bien usar una %sdiferente%s para completar tu pedido."
"Gekozen product:","Estás diseñando:"
"Happy with your design, share it!","¿Contento con tu diseño? ¡Compártelo!"
"Your design has been shared, thanks!","Tu diseño ha sido compartido, ¡gracias!"
"Sharing your design has failed, please try again.","Se ha producido un error al compartir tu diseño, por favor inténtalo de nuevo"
"Dit emailadres is al in gebruik","Esta dirección de correo electrónico ya existe"
"Add the following to your order:","Añade los siguientes productos a tu pedido:"
"quotetitle","Ventas"
"Select pickup location","Seleccione punto de recogida"
"Pick Up Location","Punto de recogida"
"We've detected that you are visiting us from %s.","Vemos que nos está visitando desde %s."
"Do you want to go to the website of GoCustomized %s?","¿Desea ir a la página web de GoCustomized %s?"
"No, stay on Gocustomized %s.","No, seguir en GoCustomized %s."
"Yes, please go to Gocustomized %s.","Sí, por favor rediríjame a GoCustomized %s."
"Kies de waarde van jouw GiftCard","Selecciona el importe de tu tarjeta regalo"
"Type device and Quantity","Tipo de dispositivo y cantidad"
"Email address","Dirección de email"
"Select Color","Selecciona el Color"
"Type of order","Tipo de pedido"
"Private","Particular"
"Business","Empresa"
"VAT Number","número de IVA"
"Geachte","A la atencion de"
"Kiyoh","Kiyoh"
"Write review","Escribir una evaluación"
"Positive","Positivo"
"Suggestions","Sugerencias"
"Recommend","Recomendar"
"Yes","Sí"
"No","No"
"No reviews found...","No se encontraron reseñas..."
"Contact with Gocustomized support","¿Necesitas ayuda? Contacta con nosotros"
"Please include as much detail as possible","Contacto"
"Please tell us your issue","¿Cómo podemos ayudarte?"
"Do you have an account?","¿Tienes una cuenta?"
"I have a question about","Tengo una pregunta sobre"
"Hi %s, Please include as much detail as possible","Hola %s, por favor especifica tu solicitud"
"Hi %s, Tell us your issue","Hola %s, Cuéntanos tu problema"
"My product(s)","Mi(s) producto(s) recibido(s)"
"My shipment","Envío"
"Please select an issue","Por favor, selecciona una pregunta o problema"
"Please fill in the required fields","Por favor, rellena los campos obligatorios"
"Order number","¿Cuál es tu número de pedido?"
"Question related to","Tu pregunta es sobre:"
"Upload an image","Sube una imagen del problema"
"Description of the issue","Tu comentario"
"for example","por ejemplo"
"Print quality","No me gusta la imagen (color, tamaño, calidad)"
"Product quality (item)","Producto roto o dañado"
"change","Cambiar"
"Search for help by topic, keywords","Temas populares: envío, reembolso, pago"
"Popular topics:","Temas populares:"
"return","reembolso"
"shipping","envío"
"payment","pago"
"Topics","Temas"
"Thanks for reaching out to us we'll soon be in contact.","¡Gracias por contactarnos, pronto te daremos una respuesta!"
"Didn't find what you're looking for?","¿No has encontrado lo que estabas buscando? Contáctanos para obtener asistencia directa"
"contact us","Contacte con nosotros"
"No search results faq","Lo sentimos, no hemos podido encontrar resultados para tu búsqueda."
"How can we help you?","¿Cómo podemos ayudarte?"
"Sign in","Inicia sesión"
"Other","Otros"
"Choose another Topic","Elije otro tema"
"You are now logged out","Ya has cerrado la sesión"
"Package not yet arrived","El pedido no ha llegado"
"Request to change delivery address","Quiero cambiar la dirección de entrega"
"Request for cancellation","Quiero cancelar mi pedido"
"Wrong product (does not fit)","Producto incorrecto (no cabe)"
"It is not what I expected","No es lo que esperaba"
"I would like to receive a new one","Me gustaría recibir un reemplazo"
"I would like to get a refund","Me gustaría recibir un reembolso"
"My preferred solution","Mi solución preferida"
"Select subcategory","Selecciona la subcategoría"
"Choose your solution","Elige tu solución"
"DIRECT CUSTOMER SUPPORT","ASISTENCIA DIRECTA"
"Not (yet) a customer? You can get in contact with our support team %s","¿No eres cliente (aún) o tienes una pregunta general? Contáctanos %s"
"here","aquí"
"Recurring Profiles","Perfiles Recurrentes"
"Billing Agreements","Acuerdos de facturación"
"My Applications","Mis solicitudes"
"Delete Account","Eliminar cuenta"
"Your order has been received.","Tu pedido ha sido recibido."
"Your order has been placed succesfully.","Tu pedido se ha realizado con éxito."
"Delete Account","Eliminar cuenta"
"There are no billing agreements yet.","Sin información"
"There are no recurring profiles yet.","Sin información"
"You have no applications.","Sin informació"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Rating","Agregar una nueva calificación"
"Delete Rating","Borrar la calificación"
"Rating with the same title","Calificación con el mismo título"
"Edit Rating","Editar la calificación"
"Option Label","Etiqueta de la opción"
"Manage Ratings","Gestionar las calificaciones"
"Save Rating","Guardar calificación"
"ID","ID"
"Rating Information","Información de la calificación"
"Rating isn't Available","La calificación no está disponible"
"Rating Name","Nombre de la calificación"
"New Rating","Nueva calificación"
"Assigned Options","Opciones asignadas"
"Rating Options","Opciones de la calificación"
"Please select one of each ratings above","Por favor, seleccione una de las calificaciones de arriba"
"Be the first to review this product","Sea el primero en opinar sobre este producto"
"If you do not specify a rating title for a store, the default value will be used.","Si no especifica un título de calificación para una tienda, se utilizará el valor por defecto "
"Rating Title","Título de la calificación"
"Option Title","Título de la opción"
"Option Title:","Título de la opción:"
"Default Value","Valor por defecto"
"Rating Visibility","Visibilidad de la calificación"
"Visible In","Visible en"
"%d Review(s)","%d Opinion(es)"
"%s Review(s)","%s Opinion(es)"
"(Posted on %s)","(Realizado el %s)"
"Update status","Actualizar el estado"
"Administrator","Administrador"
"Add Your Review","Agregar su opinión"
"Add New Review","Agregar una nueva opinión"
"How Do You Rate This Product?","¿Cómo califica a este producto?"
"Are you sure you want to do this?","¿Seguro que quiere hacer esto?"
"Delete","Borrar"
"Delete Review","Borrar la opinión"
"Product Rating","Calificación del producto"
"Product Rating:","Calificación del producto:"
"Detailed Rating","Calificación detallada"
"Summary Rating","Calificación sumaria"
"Rating:","Calificación:"
"Qty","Cantidad"
"Product SKU","Código del producto"
"Customer","Cliente"
"SKU","CODIGO"
"Pending reviews","Comentarios pendientes"
"Pending reviews of customer `%s`","Comentarios pendientes del cliente '%s'"
"Reviews and Ratings","Comentarios y puntuaciones"
"Created On","Creado el"
"Review Details","Detalles de la opinión"
"Edit Review '%s'","Editar la opinión '%s'"
"Submit Review","Enviar opinión"
"Write Your Own Review","Escriba su propia opinión"
"Are you sure?","Está seguro?"
"Manage Ratings","Gestionar comentarios"
"Save Review","Guardar la opinión"
"ID","ID"
"Unable to post review. Please, try again later.","Imposible enviar la opinión. Por favor, inténtelo más tarde"
"Guest","Invitado"
"My Product Reviews","Mis opiniones de productos"
"My Recent Reviews","Mis opiniones recientes"
"Name","Nombre"
"Name In Store","Nombre en la tienda"
"New Review","Nueva opinión"
"Review by %s","Opinó %s"
"Review","Opinión"
"Product Review (submitted on %s):","Opinión del producto (enviada el %s):"
"Customer Reviews","Opiniones del cliente"
"Product Reviews","Opiniones del producto"
"Pending Reviews","Opiniones pendientes"
"Allow guests to write reviews","Permitir a los invitados escribir comentarios"
"Please select a product","Por favor, seleccione un producto"
"Please select one of each of the ratings above","Por favor, seleccione una de las calficaciones de arriba"
"Product","Producto"
"Average Customer Rating","Promedio de la calificación de los clientes"
"Average Customer Rating:","Promedio de la calificación de los clientes:"
"Posted By","Realizado por"
"Summary of Review","Resumen de la opinión"
"Summary of review","Resumen de la opinión"
"Summary of Your Review","Resumen de su opinión"
"Be the first to review this product","Sea el primero en opinar sobre este producto"
"Your Rating:","Su calificación:"
"Your Review (submitted on %s):","Su opinión (realizada el %s):"
"Your review has been accepted for moderation","Su opinión ha sido aceptada y transferida para su moderación"
"Title","Título"
"Type","Tipo"
"All Reviews","Todas las opiniones"
"All reviews of customer `%s`","Todos los comentarios de los clientes '%s'"
"You're reviewing: %s","Usted está opinando sobre: %s"
"You have submitted no reviews.","Usted no ha enviado opiniones."
"View Details","Ver los detalles"
"View All Reviews","Ver todas las opiniones"
"Visible In","Visible en"
"Back to Main Product Info","Volver a la información del producto principal"
"Back to Product Reviews","Volver a las Opiniones del producto"
"Back to My Reviews","Volver a Mis opiniones"
