"REQUEST YOUR QUOTE","ANMOD OM CITAT"
"Move to Wishlist","Sæt på ønskeseddel"
"Multishipping Checkout","Bestilling med flere adresser (multilevering)"
"Multishipping Checkout Address (Any) Form","Multilevering, adresseformular"
"Multishipping Checkout Billing Address Creation","Multilevering, fakturering, adresseoprettelse"
"Multishipping Checkout Billing Address Edit Form","Multilevering, fakturering, adresseredigering"
"Multishipping Checkout Billing Address Selection","Multilevering, fakturering, adressevalg"
"Multishipping Checkout Billing Information Step","Multilevering, fakturering, informationstrin"
"Multishipping Checkout Customer Address Edit Form","Multilevering, adresseredigering"
"Multishipping Checkout Overview","Multilevering overblik"
"Multishipping Checkout Shipping Address Creation","Multilevering, leveringsadresse, oprettelse"
"Multishipping Checkout Shipping Address Edit Form","Multilevering, leveringsadresse, redigering"
"Multishipping Checkout Shipping Address Selection","Multilevering, leveringsadresse, valg af adresse"
"Multishipping Checkout Shipping Information Step","Multilevering, leveringsadresse, informationstrin"
"Multishipping Checkout Success","Multilevering, bestilling gennemført"
"My Cart","Indkøbskurv"
"My Cart (%s item)","Min indkøbskurv (%s vare)"
"My Cart (%s items)","Min indkøbskurv (%s varer)"
"My Cart Link","Link til indkøbskurv"
"New Address","Ny adresse"
"New Condition","Nyt vilkår"
"New Terms and Conditions","Nye handelsvilkår"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDRENS TOTALBELØB VISES FØR DU GODKENDER ORDREN"
"One Page Checkout","Ensidesbestilling"
"One Page Checkout Failure","Ensidesbestilling fejl"
"One Page Checkout Overview","Ensidesbestilling oversigt"
"One Page Checkout Success","Ensidesbestilling gennemført"
"Order #","Ordre #"
"Order Review","Godkend ordre"
"Order Success","Ordrekvittering"
"Other Items in Your Order","Andre produkter i din ordre"
"Overview Items After","Vareoversigt efter"
"Password","Kodeord"
"Payment Failed Email Reciever","E-mail-modtager for mislykket betaling"
"Payment Failed Email Sender","E-mail-afsender for mislykket betaling"
"Payment Failed Emails","E-mails for mislykket betaling"
"Payment Failed Template","Skabelon for mislykket betaling"
"Payment Information","Betalingsform"
"Payment Method","Betalingsform"
"Payment Methods After Checkout Button","Betalingsmetoder efter bestillingsknap"
"Payment Methods Before Checkout Button","Betalingsmetoder før bestillingsknap"
"Payment method information","Information om betalingsmetode"
"Payment method is not defined","Betalingsform ikke valgt"
"Payment methods in shopping cart","Betalingsmetoder i indkøbskurv"
"Payment profile # %s: ""%s"".","Betalingsprofil # %s: ""%s""."
"Place Order","Placer din ordre"
"Please agree to all Terms and Conditions before placing the order.","Accepter venligst alle vilkår før du gennemfører bestillingen."
"Please agree to all Terms and Conditions before placing the orders.","Accepter venligst alle vilkår før du gennemfører bestillingerne."
"Please agree to all the terms and conditions before placing the order.","Accepter venligst alle vilkår før du gennemfører bestillingen."
"Please check billing address information.","Kontroller betalingsadresse."
"Please check shipping address information.","Kontroller leveringsadresse."
"Please check shipping addresses information.","Kontroller leveringsadresserne."
"Please choose to register or to checkout as a guest","Vælg om du vil registrere dig eller bestille som gæst"
"Please log in below:","Log venligst ind nedenfor:"
"Please select region, state or province","Vælg venligst region eller område"
"Please select shipping address for applicable items","Vælg venligst leveringsadresse for relevante produkter"
"Please select shipping methods for all addresses","Vælg venligst leveringsform for hver adresse"
"Please select valid payment method.","Vælg en gyldig betalingsmetode."
"Please specify payment method.","Vælg en betalingsmetode."
"Please specify shipping method.","Vælg en leveringsmetode."
"Please specify shipping methods for all addresses.","Vælg leveringsmetoder til alle adresser."
"Proceed to Checkout","Gå til bestilling"
"Product","Produkt"
"Product Name","Vare"
"Products","Produkter"
"Qty","Antal"
"Qty:","Antal:"
"Quantity was recalculated from %d to %d","Mængde er genberegnet fra %d til %d"
"Quote Lifetime (days)","Indkøbskurvens levetid (dage)"
"Quote item does not exist.","Vare i kurven eksisterer ikke."
"Quote item is not found.","Vare i kurven findes ikke."
"Recently added item(s)","Nyligt tilføjede emner"
"Register","Opret konto"
"Register and save time!","Opret en konto og spar tid!"
"Register to Create an Account","Opret dig som bruger, hvis du ønsker en konto"
"Register with us for future convenience:","Opret en konto hos os for at gøre det nemmere fremover:"
"Remove Item","Fjern vare"
"Remove This Item","Fjern denne"
"Remove coupon code from shopping cart","Fjern rabatkode fra indkøbskurv"
"Remove item","Fjern vare"
"Remove product from shopping cart","Fjern produkt fra indkøbskurv"
"Remove product(s) from shopping cart","Fjern produkt(er) fra indkøbskurv"
"Require Customer To Be Logged In To Checkout","Kræv at kunden logger ind for at bestille"
"Retrieve information about shopping cart","Hent information om indkøbskurven"
"Review Order","Godkend ordre"
"Review Order - %s","Gennemse ordre - %s"
"Sales","Salg"
"Save Condition","Gem vilkår"
"See price before order confirmation.","Se pris før ordrebekræftelse."
"Select Address","Vælg adresse"
"Select Addresses","Vælg adresser"
"Select Shipping Method","Vælg leveringsform"
"Select State/Province...","Vælg område..."
"Select a billing address from your address book or enter a new address.","Vælg en betalingsadresse fra dine adresser eller indtast en ny adresse</a>."
"Select a shipping address from your address book or enter a new address.","Vælg en leveringsadresse fra dine adresser eller indtast en ny adresse</a>."
"Send Payment Failed Email Copy Method","Metode til afsendelse af kopi-e-mail for mislykket betaling"
"Send Payment Failed Email Copy To","Send kopi-e-mail for mislykket betaling til"
"Send To","Send til"
"Separate by "","".","Adskil med "",""."
"Set customer for shopping cart","Vælg kunde til indkøbskurven"
"Set customer's addresses in shopping cart","Indstil kundens adresse i indkøbskurven"
"Set payment method","Vælg betalingsmetode"
"Set shipping method","Vælg leveringsmetode"
"Ship to Multiple Addresses","Levering til flere adresser"
"Ship to different address","Levering til anden adresse"
"Ship to this address","Levering til denne adresse"
"Shipping Address","Leveringsadresse"
"Shipping Information","Leveringsadresse"
"Shipping Method","Leveringsform"
"Shipping Methods","Leveringsformer"
"Shipping To","Levering til"
"Shipping information","Leveringsinformation"
"Shipping method has not been selected yet","Vælg venligst din ønskede leveringsform"
"Shipping methods in shopping cart","Leveringsmetoder i indkøbskurven"
"Shipping selection is not applicable.","Leveringsvalget er ikke brugbart"
"Shopping Cart","Indkøbskurv"
"Shopping Cart Form Before","Indkøbskurv formular før"
"Shopping Cart Sidebar","Indkøbskurv sidebar"
"Shopping Cart Sidebar Extra Actions","Indkøbskurv sidebar, ekstra handlinger"
"Shopping Cart is Empty","Indkøbskurven er tom"
"Shopping cart ability to set coupon code","Indkøbskurvens mulighed for at sætte rabatkode"
"Show Content as","Vis indhold som"
"Some of the requested products are not available in the desired quantity.","Nogle af produkterne er ikke tilgængelige i den ønskede mængde."
"Some of the requested products are unavailable.","Nogle af produkterne er ikke tilgængelige."
"Some products quantities were recalculated because of quantity increment mismatch","Nogle produktmængder er genberegnet pga. mismatch i mængdeforøgelser"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Beklager, gæstebestilling er ikke muligt. Prøv igen eller kontakt forretningen."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Beklager, gæstebestilling er ikke muligt. Prøv igen eller kontakt forretningen."
"Sorry, no quotes are available for this order at this time.","Vi undskylder! Prisoverslag kan ikke gives for denne ordre."
"State/Province","Område"
"Status","Status"
"Store View","Forretningsvisning"
"Street Address","Gade/vej"
"Street Address %s","Gade/vej %s"
"Submitting order information...","Gennemfører ordre..."
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","Subtotalen skal opfylde minimums-ordrebeløbet"
"Telephone","Telefonnummer"
"Terms and Conditions","Handelsvilkår"
"Terms and Conditions Information","Information om handelsvilkår"
"Terms and conditions","Handelsvilkår"
"Text","Tekst"
"Thank you for your purchase!","Tak for din ordre!"
"The condition has been deleted","Betingelsen er slettet"
"The condition has been saved.","Betingelsen er gemt."
"The onepage checkout is disabled.","Énsidesbestilling er deaktiveret."
"The product could not be found.","Produktet findes ikke."
"The product does not exist.","Produktet eksisterer ikke."
"There are <a href=""%s"">%s items</a> in your cart.","Der er <a href=""%s"">%s varer</a> i din kurv."
"There is <a href=""%s"">1 item</a> in your cart.","Der er <a href=""%s"">1 vare</a> i din kurv."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Der er allerede en kunde registreret med denne e-mailadresse. Log ind med denne e-mailadresse eller indtast en anden for at registrere dig."
"There was an error processing your order. Please contact us or try again later.","Der opstod en fejl under behandlingen af din ordre. Kontakt os eller prøv igen senere."
"This condition no longer exists.","Dette vilkår eksisterer ikke længere"
"Total","Total"
"Total for this address","Total for denne adresse"
"Unable to set Payment Method.","Kune ikke sætte betalingsmetode."
"Unit Price","Stykpris"
"Update Cart","Opdater indkøbskurv"
"Update Qty & Addresses","Opdater antal & adresser"
"Update Shopping Cart","Opdater kurv"
"Update Total","Opdater total"
"Update product quantities in shopping cart","Opdater produktmængder i indkøbskurv"
"Update product(s) quantities in shopping cart","Opdater produktmængder i indkøbskurv"
"Use Billing Address","Anvend betalingsadresse"
"VAT Number","Momsnummer"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Din ordre bliver behandlet og du vil snarest modtage en e-mail med ordrekvittering.<br/>Så snart ordren er afsendt sender vi dig en e-mail med et link, hvor du kan følge ordren."
"What's this?","Hvad er dette?"
"You will receive an order confirmation email with details of your order and a link to track its progress.","En ordrebekræftelse er blevet sendt til din e-mail-adresse."
"Your Checkout Progress","Dit bestillingsforløb"
"Your billing agreement # is: %s.","Dit betalingsaftalenr. er %s."
"Your order # is: %s.","Ordrenummer: %s"
"Your order cannot be completed at this time as there is no payment methods available for it.","Din ordre kan ikke gennemføres da der ikke er nogen tilgængelige betalingsmetoder."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Din ordre kan ikke gennemføres da der ikke er nogen tilgængelige leveringsmetoder. Kontroller din leveringsadresse."
"Your order has been received.","Vi har modtaget din ordre."
"Your order number is ","Dit ordrenummer er "
"Your recurring payment profiles:","Dine abonnementsbetalinger:"
"Zip/Postal Code","Postnummer"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' ligner et DNS hostname, men der mangler et TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' ligner et DNS hostname, men TLD genkendes ikke"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' ligner et DNS hostname, men navnestrukturen stemmer ikke med strukturen for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' ligner et DNS hostname, men indeholder en ugyldig bindestreg"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' ligner et DNS hostname, men den angivne punycode notation kan ikke dekodes"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' ligner navnet på et lokalnetværk, hvilket ikke er tilladt"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' ligner en IP-adresse, men IP-adresser kan ikke bruges"
"'%value%' does not appear to be a valid local network name","'%value%' ligner ikke et gyldigt navn på et lokalnetværk"
"* Required Fields","* Skal udfyldes"
"ALL GROUPS","ALLE GRUPPER"
"Account Dashboard","Kontooversigt"
"Account Information","Stamdata"
"Address Templates","Addresseskabeloner"
"Account Sharing Options","Indstillinger for kontodeling"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Du skal bekræfte din konto. Find et bekræftelseslink i vores e-mail. Hvis du vil have bekræftelsesmailen udsendt igen, <a href=""%s"">klik her</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Du skal bekræfte din konto. Find et bekræftelseslink i vores e-mail. Hvis du vil have bekræftelsesmailen udsendt igen, <a href=""%s"">klik her</a>."
"Action","Handling"
"Add New Address","Tilføj ny adresse"
"Add New Customer","Tilføj kunde"
"Add New Customer Group","Tilføj ny kundegruppe"
"Added From","Tilføjet fra"
"Additional Address Entries","Yderligere adresser"
"Address","Gade/vej"
"Address Book","Adresser"
"Address Books","Adressebøger"
"Address Information","Adresseinformation"
"Addresses","Adresser"
"Admin","Admin"
"All","Alle"
"All Store Views","Alle forretningsvisninger"
"All countries","Alle lande"
"Always optional.","Altid valgfrit."
"Amount","Beløb"
"An error occurred while deleting the address.","Fejl ved sletning af adressen."
"An error occurred while retrieving the option value: %s.","Fejl ved indlæsning af option-væriden: %s."
"An error occurred while saving the collection, aborting. Error: %s","Fejl ved lagring af kollektionen. Fejl: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Ugyldig option-ID angivet for %s (%s), springer posten over."
"Approved","Godkendt"
"Are you sure that you want to remove this item?","Er du sikker på, at du ønsker at fjerne dette?"
"Are you sure you want to cancel adding of this address?","Er du sikker på, at du vil annullere tilføjelsen af adressen?"
"Are you sure you want to delete this address?","Er du sikker på, at du vil slette denne adresse?"
"Are you sure?","Er du sikker?"
"Array of Entity collections is expected.","Der forventes et array af enhedskollektioner."
"Assign a Customer Group","Tildel kundegruppe"
"Average Sale","Gns. pris for salg"
"Back","Tilbage"
"Back - link to the previously viewed page","Tilbagelink til foregående side"
"Back to Login","Tilbage til log ind"
"Bad request.","Ugyldig forespørgsel."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Ud fra momsnummeret vil kunden tilhøre gruppen %s."
"Bill to Name","Faktureringsnavn"
"Bought From","Købt i"
"CSV","CSV"
"Cancel","Annuller"
"Cannot save a new password.","Kan ikke gemme det nye password."
"Cannot save address.","Kan ikke gemme adresse."
"Cannot save the customer.","Kan ikke gemme kunden."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Kan ikke dele kundekonto globalt, da der findes kundekonti med samme e-mail-adresser på flere websites, som ikke kan flettes sammen."
"Change Account Password","Rediger kodeord for konto"
"Change Billing Address","Rediger betalingsadresse"
"Change Password","Skift kodeord"
"Change Shipping Address","Rediger leveringsadresse"
"City","By"
"Company","Virksomhed (Valgfri)"
"Config","Konfiguration"
"Configure","Konfigurer"
"Confirm New Password","Bekræft nyt kodeord"
"Confirm Password","Bekræft kodeord"
"Confirmation Link Email","Bekræftelsesmail"
"Confirmed","Bekræftet"
"Contact Information","Kontaktinformation"
"Continue Shopping","Fortsæt med at shoppe"
"Country","Land"
"Create","Opret"
"Create New Account Options","Indstillinger for kontooprettelse"
"Create New Customer Account","Opret ny kundekonto"
"Create Order","Opret ordre"
"Create an Account","Opret konto"
"Create customer","Opret kunde"
"Create customer address","Opret kundeadresse"
"Current Password","Nuværende kodeord"
"Customer","Kunde"
"Customer Account Edit Form","Konto, redigeringsformular"
"Customer Account Login Form","Konto, loginformular"
"Customer Account Logout Success","Konto, log ud-bekræftelse"
"Customer Account Registration Form","Konto, registreringsformular"
"Customer Addresses","Kundeadresser"
"Customer Api","Kunde-API"
"Customer Configuration","Kundekonfiguration"
"Customer Forgot Password Form","Formular for glemt kodeord"
"Customer Group","Kundegruppe"
"Customer Groups","Kundegrupper"
"Customer Information","Kundedetaljer"
"Customer Login","Log-ind"
"Customer My Account (All Pages)","Min konto (alle sider)"
"Customer My Account Address Book","Min konto, adressebog"
"Customer My Account Address Edit Form","Min konto, adresseredigering"
"Customer My Account Dashboard","Min konto, oversigt"
"Customer Since","Oprettet"
"Customer View","Kundedetaljer"
"Customer collection expected.","En liste af kunder forventes."
"Customer email is required","E-mailadresse er obligatorisk"
"Customer website ID must be specified when using the website scope","Kundens website-ID skal angives når website bruges som anvendelsesområde"
"Customer will stay on the current page if ""No"" is selected.","Ved ""nej"" bliver kunderne på samme side."
"Customers","Kunder"
"Customers Only","Kun for kunder"
"Customers Section","Kundesektion"
"DD","DD"
"Date","Dato"
"Date Added","Tilføjet d."
"Date of Birth","Fødselsdato"
"Day","Dag"
"Days in Wishlist","Antal dage på ønskeseddel"
"Default Addresses","Adresser (standard)"
"Default Billing Address","Standard betalingsadresse"
"Default Email Domain","Domæne for e-mail (standard)"
"Default Group","Gruppe (standard)"
"Default Shipping Address","Standard leveringsadresse"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardværdi for deaktiver automatisk gruppeændring ud fra momsnummer"
"Default Welcome Email","Standardvelkomstmail"
"Delete","Slet"
"Delete Address","Slet adresse"
"Delete Customer","Slet kunde"
"Delete Customer Group","Slet kundegruppe"
"Delete customer","Slet kunde"
"Delete customer address","Slet kundeadresse"
"Deleted Stores","Slettede forretninger"
"Details","Detaljer"
"Disabled","Inaktiv"
"Edit Account Info","Rediger kontoinfo"
"Edit Account Information","Rediger kontoinformation"
"Edit Address","Rediger adresse"
"Edit Address Entry","Rediger adresse"
"Edit Customer Group ""%s""","Rediger kundegruppe ""%s"""
"Edit Customer Groups","Rediger kundegrupper"
"Edit Customer's Address","Rediger kundens adresse"
"Edit Group","Rediger gruppe"
"Edit Newsletters","Rediger nyhedsbreve"
"Email","E-mail"
"Email Address","E-mailadresse"
"Email Sender","Afsender"
"Email:","Email:"
"Enable Automatic Assignment to Customer Group","Aktiver automatisk tildeling til kundegruppe"
"Entity collection is expected.","Enhedsliste blev forventet"
"Excel XML","Excel XML"
"Failed to confirm customer account.","Bekræftelse af kundekonto mislykkedes."
"Fax","Fax"
"First Name","Fornavn"
"Forgot Email Template","Glemt e-mailskabelon"
"Forgot Password","Glemt kodeord"
"Forgot Your Password","Glemt dit kodeord"
"Forgot Your Password?","Glemt dit kodeord?"
"Forgot and Remind Email Sender","Afsender for glemt kodeord"
"Form Fields Before","Formularfelter før"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","I kontooversigten kan du se de seneste bevægelser og opdatere din kontoinformation. Vælg et link nedenfor for at se eller ændre information."
"Gender","Køn"
"Gender is required.","Køn er obligatorisk."
"General Subscription","Generelt nyhedsbrev"
"Generate Human-Friendly Customer ID","Generer brugervenligt kunde-ID"
"Global","Global"
"Grand Total","Total"
"Group","Gruppe"
"Group Information","Gruppe-detaljer"
"Group Name","Gruppenavn"
"Group for Invalid VAT ID","Gruppe for ugyldigt momsnummer"
"Group for Valid VAT ID - Domestic","Gruppe for gyldigt momsnummer, indland"
"Group for Valid VAT ID - Intra-Union","Gruppe for gyldigt momsnummer, EU"
"Guest","Gæst"
"HTML","HTML"
"Hello, %1!","Velkommen %1!"
"ID","ID"
"IP Address","IP-adresse"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Hvis der er en konto forbundet med %s vil du modtage en e-mail med et link til at nulstille dit kodeord."
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address for proper VAT calculation","Hvis du er registreret momskunde <a href=""%s"">klik her</a> for at angive din betalingsadresse for korrekt momsberegning"
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation","Hvis du er registreret momskunde <a href=""%s"">klik her</a> for at angive din leveringsadresse for korrekt momsberegning"
"If you believe this is an error, please contact us at %s","Hvis du mener at dette er en fejl kan du kontakte os på %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ugyldig værdi i mulighed for egenskab %s (%s), posten springes over…"
"Invalid attribute set specified, skipping the record.","Ugyldigt sæt af egenskaber, posten springes over…"
"Invalid billing address for (%s)","Ugyldig betalingsadresse for (%s)"
"Invalid current password","Nuværende kodeord er ugyldigt"
"Invalid customer data","Ugyldig kundedata"
"Invalid email address ""%s"".","Ugyldig e-mailadresse ""%s""."
"Invalid email address.","Ugyldig e-mailadresse."
"Invalid login or password.","Ugyldigt login eller password."
"Invalid password reset token.","Ugyldigt token for nulstilling af kodeord."
"Invalid shipping address for (%s)","Ugyldig leveringsadresse for (%s)"
"Invalid store specified, skipping the record.","Ugyldig forretning specificeret, posten springes over…"
"Invalid website, skipping the record, line: %s","Ugyldigt website, springer over linien: %s"
"Last Activity","Seneste aktivitet"
"Last Date Subscribed","Seneste dato for tilmelding"
"Last Date Unsubscribed","Seneste dato for afmelding"
"Last Name","Efternavn"
"Last URL","Sidste URL"
"Leave empty for default (15 minutes).","Udfyld ikke for standardværdi (15 minutter)."
"Leave empty for default (2). Valid range: 1-4","Udfyld ikke for standardværdi (2). Gyldigt interval: 1-4"
"Lifetime Sales","Samlet salg"
"Log In","Log ind"
"Log Out","Log af"
"Sign Out","Log af"
"Login Information","Log-ind information"
"Login Options","Log-ind-muligheder"
"Login and password are required.","Log ind og password er påkrævet."
"MM","MM"
"Manage Addresses","Rediger adresser"
"Manage Customers","Kunder"
"Maximum length must be less then %s symbols","Maksimal længde skal være mindre end %s tegn"
"Missing email, skipping the record, line: %s","Email mangler, springer over linie: %s"
"Missing email, skipping the record.","Mangler e-mail, posten springes over."
"Missing first name, skipping the record, line: %s","Fornavn mangler, springer over linie: %s"
"Missing firstname, skipping the record.","Mangler fornavn, posten springes over."
"Missing last name, skipping the record, line: %s","Efternavn mangler, springer over linie: %s"
"Missing lastname, skipping the record.","Mangler efternavn, posten springes over."
"Missing website, skipping the record, line: %s","Website mangler, springer over linie: %s"
"Month","Måned"
"My Account","Min konto"
"My Account Wrapper","Min konto wrapper"
"My Dashboard","Min oversigt"
"My Orders","Mine ordrer"
"Name","Navn"
"Name and Address Options","Muligheder for navn og adresse"
"Never","Aldrig"
"New Address Entry","Indtast ny adresse"
"New Customer","Ny kunde"
"New Customer Address","Ny kundeadresse"
"New Customer Group","Ny kundegruppe"
"New Customer Groups","Nye kundegrupper"
"New Group","Ny gruppe"
"New Password","Nyt kodeord"
"New account","Ny konto"
"New account confirmation key","Bekræftelsesnøgle for ny konto"
"New account confirmed","Ny konto bekræftet"
"New password field cannot be empty.","Adgangskodefelt skal udfyldes."
"Newsletter","Nyhedsbrev"
"Newsletter Finish","Nyhedsbrev - slut"
"Newsletter Information","Nyhedsbrev - detaljer"
"Newsletter Received","Har modtaget nyhedsbrev"
"Newsletter Start","Nyhedsbrev - start"
"Newsletter Subscription","Abonnement på nyhedsbrev"
"Newsletters","Nyhedsbreve"
"No Items Found","Ingen emner fundet"
"No Newsletter Found","Ingen nyhedsbreve oprettet"
"No customer collections found","Ingen kundelister fundet"
"No item specified.","Intet element angivet."
"Not Sent","Ikke sendt"
"Not confirmed, can login","Ikke bekræftet, kan logge ind"
"Not confirmed, cannot login","Ikke bekræftet, kan ikke logge ind"
"Number of Lines in a Street Address ","Antal linier i en adresse "
"Offline","Offline"
"Online","Online"
"Online Customers","Kunder online"
"Online Customers Options","Muligheder for online kunder"
"Online Minutes Interval","Interval for onlineminutter"
"Order #","Ordre #"
"Order Total","Ordretotal"
"Orders","Ordrer"
"PDF","PDF"
"Password","Kodeord"
"Password Management","Administrer kodeord"
"Password Options","Indstillinger for kodeord"
"Password forgotten","Password glemt"
"Password:","Password:"
"Paused","Sat på pause"
"Pending","Uafsluttet"
"Per Website","Pr. website"
"Personal Information","Personlig information"
"Please enter a number 1 or greater in this field.","Indtast et tal, 1 eller større, i dette felt"
"Please enter a valid date between %s and %s at %s.","Indtast en gyldig dato mellem %s og %s ved %s."
"Please enter a valid date equal to or greater than %s at %s.","Indtast en gyldig dato tidligst %s ved %s."
"Please enter a valid date less than or equal to %s at %s.","Indtast en gyldig dato senest %s ved %s."
"Please enter the city.","Indtast by."
"Please enter the country.","Indtast land."
"Please enter the first name.","Indtast fornavn."
"Please enter the last name.","Indtast efternavn."
"Please enter the state/province.","Indtast område."
"Please enter the street.","Indtast vejnavn."
"Please enter the telephone number.","Indtast telefonnummer."
"Please enter the zip/postal code.","Indtast postnummer."
"Please enter your email below and we\'ll send you confirmation link for it.","Skriv din e-mail-adresse nedenfor, så sender vi dig et bekræftelseslink."
"Please enter your email.","Indtast venligst din email."
"Please select","Vælg venligst"
"Please select a website which contains store view","Vælg et website der har en forretningsvisning"
"Please select region, state or province","Vælg venligst region"
"Please, check your email for confirmation key.","Check din e-mail for bekræftelsesnøgle."
"Prefix Dropdown Options","Præfix drop-down-muligheder"
"Product","Produkt"
"Product ID","Produkt ID"
"Product Reviews","Produktbedømmelser"
"Product Tags","Produkt-tags"
"Purchase On","Købt den"
"Purchased At","Købt i"
"Qty","Antal"
"Recent Orders","Seneste ordrer"
"Records for %s store found.","Poster for %s fundet."
"Recovery Link Expiration Period (days)","Gyldighedsperiode for gendannelseslinks (dage)"
"Redirect Customer to Account Dashboard after Logging in","Send kunde til kontooversigt efter log-ind"
"Refunded","Refunderet"
"Remind Email Template","Skabelon for påmindelses-email"
"Remind Password","Påmindelse om adgangskode"
"Remove","Fjern"
"Require Emails Confirmation","Kræv bekræftelse på e-mails"
"Reset a Password","Nulstil et kodeord"
"Retrieve address data","Hent adressedata"
"Retrieve address info","Hent adresseinfo"
"Retrieve customer addresses","Hent kundeadresser"
"Retrieve customer data","Hent kundedata"
"Retrieve customer groups","Hent kundergrupper"
"Retrieve customer info","Hent kundeinfo"
"Retrieve customers","Hent kunder"
"Retrieve your confirmation link here","Hent dit bekræftelseslink her"
"Retrieve your password here","Få dit kodeord tilsendt her"
"SKU","Varenummer"
"Sales Statistics","Salgsstatistik"
"Save","Gem"
"Save Address","Gem adresse"
"Save Customer","Gem kunde"
"Save Customer Group","Gem kundegruppe"
"Save Password","Gem kodeord"
"Save and Continue Edit","Gem og fortsæt redigering"
"Saved %d record(s)","%d poster gemt"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semikolon-separerede værdier (;).<br/>Start med semikolon for at lade den første mulighed være tom.<br/>Udfyld ikke for åbent tekstfelt."
"Send From","Send fra"
"Send Welcome Email","Send velkomst-e-mail"
"Send Welcome Email after Confirmation","Send velkomstmail efter bekræftelse"
"Send auto-generated password","Send automatisk genereret kodeord"
"Send confirmation link","Send bekræftelseslink"
"Sending","Sender"
"Sent","Sendt"
"Session Start Time","Session start"
"Set as Default Billing Address","Sæt som primær betalingsadresse"
"Set as Default Shipping Address","Sæt som primær leveringsadresse"
"Share Customer Accounts","Del kundekonti"
"Shipped to First Name","Modtagers fornavn"
"Shipped to Last Name","Modtagers efternavn"
"Shipped to Name","Leveringsnavn"
"Shopping Cart - %d item(s)","Indkøbskurv - %d vare(r)"
"Shopping Cart of %1$s - %2$d item(s)","Indkøbskurv med %1$s - %2$d varer"
"Show Date of Birth","Vis fødselsdato"
"Show Gender","Vis køn"
"Show Middle Name (initial)","Vis mellemnavn"
"Show Prefix","Vis præfix"
"Show Suffix","Vis suffix"
"Show Tax/VAT Number","Vis momsnummer"
"Show VAT Number on Frontend","Vis momsnummer i frontend"
"Sign Up for Newsletter","Ja tak, jeg ønsker at modtage nyhedsbrev"
"Skipping import row, required field ""%s"" is not defined.","Springer over importrække, obligatorisk felt ""%s"" mangler."
"Skipping import row, website ""%s"" field does not exist.","Springer over importrække, websitefelt ""%s"" eksisterer ikke."
"State/Province","Region"
"Status","Status"
"Store","Forretning"
"Store View","Forretningsvisning"
"Street Address","Gade/vej"
"Street Address %s","Gade/vej %s"
"Subject","Overskrift"
"Submit","Gennemfør"
"Subscribe to Newsletter","Tilmeld nyhedsbrev"
"Subscribed to Newsletter?","Tilmeldt nyhedsbrev?"
"Suffix Dropdown Options","Suffix dropdown-muligheder"
"Tag Name","Navn"
"Tax Calculation Based On","Momsberegning baseret på"
"Tax Class","Momsgruppe"
"Tax/VAT number","Momsnummer"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","Tekst én linie"
"Thank you for registering with %s.","Tak fordi du registrerede dig hos %s."
"The Date of Birth is required.","Fødselsdato er obligatorisk."
"The TAX/VAT number is required.","Momsnummer er obligatorisk."
"The VAT ID entered (%s) is not a valid VAT ID.","Det indtastede momsnummer (%s) er ikke gyldigt."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Det indtastede momsnummer (%s) er ikke gyldigt. Kunden tilhører kundegruppen %s."
"The VAT ID is valid. The current Customer Group will be used.","Momsnummeret er gyldigt. Den nuværende kundegruppe bruges."
