"Design now!","Gör eget skal!"
"Category must be an instance of Mage_Catalog_Model_Category.","Kategori måste vara en instans av Mage_Catalog_Model_Category."
"A group with the same name already exists.","En grupp med samma namn finns redan."
"Website","Webbplats"
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Hoppar över importrad, ""%s"" är inte ett giltigt värde för fältet ""%s"""
"Autogenerate","Autogenerera"
"Unable to complete this request.","Kan inte slutföra förfrågan."
"Retrieve product image","Hämta produktbild"
"Add to Cart","Lägg i varukorgen"
"Tax","Moms"
"Product Reviews","Produktrecensioner"
"Maximum number of characters:","Maximalt antal tecken:"
"Search Term with such search query already exists.","Sökterm med sådan sökfrågan finns redan."
"Parent Category","Föräldrakatalog"
"Indexed category/products association","Indexerade kategori/produkter association"
"Properties","Egenskaper"
"Edit Product Attribute ""%s""","Redigera produktattribut ""%s"""
"Position of attribute in layered navigation block","Placering av attribut i lagerbaserad navigationsblock"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produkter som du vill dölja i katalogen eller i sökresultaten bör ha statusen 'Inaktiv' i önskad butik."
"Configurable Product","Konfigurerbar produkt"
"Zoom Out","Zooma ut"
"Name","Namn"
"Filterable (no results)","Filtrerbar (inga resultat)"
"Cache Lifetime (Seconds)","Cache livslängd (sekunder)"
"Update product image","Uppdatera produktbild"
"Date & Time Custom Options","Datum & Tid för anpassade val"
"Allowed file extensions to upload","Tillåtna filtyper för uppladdning"
"The product has been created.","Produkten har skapats."
"Catalog Seo Sitemap (Product List)","Katalog SEO Sitemap (Produktlista)"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Använd i lagerbaserad navigation<br />(Kan endast användas med indatatyp 'Rullgardinsmeny')"
"Settings","Inställningar"
"As low as:","Så lågt som:"
"This search no longer exists.","Denna sök finns inte längre."
"Remove product image","Ta bort produktbild"
"Add Design Change","Lägg till designändring"
"Special Price:","Specialpris:"
"Product Categories","Produktkategorier"
"Manage Attributes","Hantera attribut"
"Not Visible Individually","Ej individuellt"
"Groups","Grupper"
"Catalog Product Email to a Friend","Produktkatalog e-posta en vän"
"Delete Search","Ta bort sökning"
"Apply To","Tillämpa på"
"Selected Product Types","Valda produkttyper"
"Please enter a new group name","Vänligen skriv in ett nytt namn för gruppen"
"Invalid block: %s.","Ogiltigt block: %s."
"Redirect","Omdirigera"
"Email to a Friend","E-posta till en vän"
"Price values for options should be specified in system base currency.","Prisvärden för alternativ bör anges i systemets basvaluta"
"Line %d, SKU: %s","Rad %d, artikelnummer: %s"
"Create Empty","Skapa tom"
"per page","per sida"
"New Set Name","Nytt mängdnamn"
"Frontend Properties","Egenskaper för kunddelen"
"Cart Item Attribute","Attribut för artikel i kundkorg"
"Use Categories Path for Product URLs","Använd sökväg för kategorier för produkt-URL:er"
"Default Price","Förvalt pris"
"An error occurred while saving the product. ","Ett fel uppstod medan produkten sparades."
"The review was removed by another user or does not exist.","Recensionen har tagits bort av en annan användare eller finns inte."
"Category Data","Kategoridata"
"Maximum number of characters","Maximalt antal tecken"
"Visibility","Synlighet"
"Simple Product","Enkel produkt"
"Attribute Information","Information om attribut"
"Title","Titel"
"Retrieve category attributes","Hämta kategoriattributer"
"Add New Option","Lägg till nytt val"
"Store","Butik"
"Product Info Column","Produkt infokolumn"
"Manage Products","Hantera produkter"
"Save Category","Spara kategori"
"Old Price:","Tidigare pris:"
"Image file was not found.","Bildfilen hittades inte."
"Products Sitemap","Webbkarta för produkter"
"Disallowed file type.","Nekad filtyp."
"Please specify date required option(s).","Vänligen ange obligatorisk(a) datum."
"Invalid product type specified, skipping the record.","Ogiltig produkttyp angiven, hoppar över importrad."
"Collapse All","Fäll ihop alla"
"You cannot email this product to a friend.","Du kan inte maila denna länk till en vän."
"Exclude","Uteslut"
"Based On","Baserad på"
"Unsupported product type ""%s"".","Produkttypen ""%s"" stöds inte."
"Retrieve products data","Hämta produkters data"
"Cross-sells","Korsförsäljning"
"The comparison list was cleared.","Jämförelselistan nollställdes."
"Product links API (related, cross sells, up sells)","Produktlänkar API (relaterade, korssälj, uppsälj)"
"Use JavaScript Calendar","Använd JavaScript-kalender"
"Delete Option","Ta bort alternativ"
"Anchor Custom Title","Anpassad ankartitel"
"This Attribute no longer exists","Detta attribut existerar inte längre"
"Category move error","Fel uppstod när kategorin skulle flyttas"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 som standard, om inte satt. För att uppdatera omedelbart, töm Blocks HTML output-cache."
"Watermark Opacity, Percent","Genomskinlighet för vattenmärke, procent"
"Skipping import row, required field ""%s"" is not defined.","Hoppar över importrad, obligatoriskt fält ""%s"" är inte definerad."
"Attributes","Attribut"
"Type","Typ"
"Retrieve product","Hämta produkt"
"Add Subcategory","Lägg till underkategori"
"Tag Name","Etikettnamn"
"Product Name","Produktnamn"
"Maximum image height","Maximal bildhöjd"
"Scope","Omfång"
"PM","Eftermiddag"
"Index product and categories URL rewrites","Index för produkt- och kategori URLomskrivningar"
"Qty Increments","Antal steg"
"Position in Layered Navigation","Placering i lagerbaserad navigation"
"Compare Products","Jämför produkter"
"You may also be interested in the following product(s)","Du kanske även är intresserad av följande produkt(er)?"
"Must be in the allowed values list.","Måste finnas i listan över tillåtna värden."
"Filter model name must be declared.","Namn för filter model måste vara deklarerat."
"Buy %1$s for %2$s","Köp %1$s för %2$s"
"Update category","Uppdatera kategori"
"Customers for alert %s were successfuly added to queue","Kunden för notifieringen %s har utan problem lagts till i kön"
"An error occurred while adding products to websites.","Ett fel uppstod när produkter lades till webbsidan."
"The product attribute has been saved.","Produktattributet har sparats."
"Catalog Seo Sitemap (Category Tree)","Katalog SEO Sitemap (Katalogträd)"
"Use four-digit year format.","Använd fyrsiffrigt årformat."
"Set root category for this store in the <a href=""%s"">configuration</a>","Ange rootkategori för denna butik i <a href=""%s"">konfigurationen</a>"
"Are you sure?","Är du säker?"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Denna grupp innehåller attribut som används i konfigurerbara produkter. Vänligen flytta dessa attribut till en annan grupp och försök igen."
"Remove This Item","Ta bort denna artikel"
"Special Expires On: %s","Special går ut den: %s"
"Product Attribute","Produktattribut"
"List of Products that are set as New","Lista med produkter som är satta som nya"
"No options of this product are available.","Inga alternativ är tillgängliga för denna produkt."
"Go to Home Page","Gå till hemsidan"
"Catalog Category Link","Katalogkategori länk"
"The category has been deleted.","Kategorin har tagits bort"
"Product attributes API","Produktattribute API"
"Select Product...","Välj produkt..."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","När du klickar på raden kommer paketdata från den valda filen laddas och all osparad data förloras."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ogiltigt attributvärde för det angivna attributet %s (%s), hoppar över posten."
"Quick Overview","Översikt"
"Email","E-post"
"Price is not available","Pris finns inte tillgängligt"
"Layered Navigation","Lagerbaserad navigation"
"Create","Skapa"
"categories","kategorier"
"New Products List Template","Listmall för nya produkter"
"Frontend Model","Modell för kunddelen"
"Can\'t create image.","Kan inte skapa bild"
"Use Canonical Link Meta Tag For Categories","Använd canonical URL:ar för kategorier."
"Default Qty","Förvalt antal"
"An error occurred while saving this group.","Ett fel uppstod när gruppen sparades."
"The review has been deleted","Recensionen har tagits bort"
"Category API","Kategory API"
"Value for ""%s"" is invalid.","Värdet för ""%s"" är ogiltigt."
"Show","Visa"
"Attrib. Set Name","Namn för attributmängd"
"Time Format","Tidformat"
"Retrieve attribute options","Hämta attributalternativ"
"Add New Group","Lägg till ny grupp"
"Static block only","Endast statiskt block"
"Product Images","Produktbilder"
"Manage Product Attributes","Hantera produktattribut"
"Roll Over for preview","För över musen för förhandsgranskning"
"OR","ELLER"
"Image content is not valid base64 data.","Bildinnehållet är ej giltigt bas 64 data."
"Products Information","Information om produkter"
"Details","Detaljer"
"Invalid image type.","Ogiltig bildtyp."
"Clear All","Avmarkera alla"
"Action","Åtgärd"
"Wrong product type filter specified","Fel produkttyp filter specificerade"
"Enabled","Aktiverad"
"Backend Table","Tabell för administrationsdelen"
"Unknown EAV indexer type ""%s"".","Okänd EAV indexerare av typen ""%s""."
"Reviews","Recensioner"
"Alert Urls","Varna URL:er"
"No","Nej"
"Globally Editable","Globalt ändringsbar"
"Catalog Price Scope","Omfång för katalogpris"
"Use In Layered Navigation","Använd i lagerbaserad navigation"
"Delete Attribute Set","Ta bort attributmängd"
"An invalid store was specified.","En ogiltig butik angavs."
"There are no customers for this alert.","Det finns inga kunder för denna notifiering."
"Category URL Suffix","Kategori-URL suffix"
"(Will make search for the query above return results for this search.)","Innebär att sökningar på ovanstående sökord ger samma resultat som sökningar på detta."
"Watermark","Vattenmärke"
"Skip import row, the value ""%s"" is invalid for field ""%s""","Hoppar över produktrad, värdet ""%s"" är ogiltigt för fältet ""%s"""
"Attribute group with the \""/name/\"" name already exists","Attributgrupp med samma  \""/namn/\"" namn finns redan"
"Total of %d record(s) have been deleted.","Totalt %d post(er) har tagits bort."
"Retrieve list of assigned products","Hämta lista över tilldelade produkter"
"Add Product To Websites","Lägg till produkt till webbplatser"
"Synonym For","Synonym för"
"Product Listing Sort by","Produktlista, förvald sortering"
"Maximum Image Size","Maximal bildstorlek"
"Search Engine Optimizations","Sökmotoroptimeringar"
"Out of Stock","Slut i lager"
"In stock","I lager"
"Products per Page on List Default Value","Produkter per sida i rutnät, förvalda värden"
"Duplicate","Duplicera"
"Please specify the quantity of product(s).","Vänligen ange antal av produkt(er)."
"Is Default","Är förvalt"
"Comparable on the Frontend","Jämförbar i frontend"
"You have no items to compare.","Du har inga produkter att jämföra."
"Move","Flytta"
"File upload failed","Filuppladdning misslyckades"
"Browse By","Bläddra utifrån"
"Update assigned product","Uppdatera tilldelade produkter"
"Customers Reviews","Kunders recensioner"
"Allow HTML Tags on Frontend","Tillåt HTML taggar i frontend"
"The product %s has been added to comparison list.","Produkten %s har lagts till i jämförelselistan."
"Catalog Seo Popular Search Terms","Katalog SEO populära söktermer"
"Use for Promo Rule Conditions","Använd i villkor för prisregler"
"Set Name","Välj namn"
"Please select product(s).","Vänligen välj produkt(er)."
"This attribute no longer exists","Detta attribut existerar inte längre"
"Remove","Ta bort"
"Product API","Produkt API"
"List","Lista"
"Create new category","Skapa ny kategori"
"Unable to get the product ID.","Kan inte hämta produktid"
"Retrieve product link types","Hämta typer för produktlänkar"
"Add to Wishlist","Lägg till i önskelista"
"The attribute set has been saved.","Attributmängden har sparats."
"Product URL Suffix","Produkt-URL suffix"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tillåtet i varukorg"
"Select Category...","Välj kategori..."
"Percentage","Procent"
"Integer","Heltal"
"Qty:","Antal: "
"Edit Search '%s'","Ändra sök '%s'"
"Label","Etikett"
"Continue","Fortsätt"
"ex. http://domain.com","t.ex. http://example.com"
"New Product Attribute","Nytt produktattribut"
"Fixed","Fixerad"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan endast användas tillsammans med indatatyp för katalog satt till rullgardinsmeny, flerval eller pris"
"Upload new product image ","Ladda upp ny produktbild"
"Datetime","Datum/tid"
"An error occurred while saving the attribute set.","Ett fel uppstod när attributmängden sparades."
"The product has been saved.","Produkten har sparats."
"Categories","Kategorier"
"Used in Product Listing","Används i produktlistning"
"Shop By","Filtrera efter"
"Assigned Products","Tilldelade produkter"
"Tier Pricing","Prissättning för nivå"
"Results","Resultat"
"Add New Attribute","Lägg till nytt attribut"
"Static block and products","Statiskt block och produkter"
"Product Image Placeholders","Platsbehållare för produktbild"
"Manage Categories","Hantera kategorier"
"SKU","Artikelnummer"
"Number of Uses","Antal träffar"
"If empty, the Product Name will be used","Om tomt, kommer produktens namn att användas"
"Delete product","ta bort produkt"
"Are you sure you would like to remove all products from your comparison?","Är du säker på att du vill ta bort alla produkter från jämförelsen?"
"Invalid image file type.","Ogiltig bildfilstyp"
"Check items to add to the cart or","Markera artiklar att lägga i varukorg eller"
"ALL GROUPS","ALLA GRUPPER"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Vare sig för att visa ""Alla"" i ""Visa X per sida"" i dropdown."
"Availability:","Tillgängligt: "
"Availability","Tillgängligt"
"Print This Page","Skriv ut denna sida"
"Link to a Specified Product","Länk till en specifik produkt"
"Create Product Settings","Inställningar för att skapa produkt"
"unselect all","välj bort alla"
"Next","Nästa"
"Global","Globalt"
"Catalog Category (Without Subcategories)","Kategori (utan subkategorier)"
"Use Flat Catalog Product","Använd flat produkttabell"
"Delete","Ta bort"
"An error occurred while updating the product(s) attributes.","Ett fel uppstod när produkternas attribut uppdaterardes."
"There are no %s available.","%s är inte tillgängliga."
"Category Link Inline Template","Kategorilänk inline mall"
"%s Item(s)","%s artiklar"
"Visible on Catalog Pages on Front-end","Synlig på kunddelens katalogsidor"
"Sitemap","Sidkarta"
"Attribute Name:","Attributnamn:"
"Total Qty Base Items","Summa basartiklar"
"Retrieve category data","Hämta kategoridata"
"Add New Set","Lägg till ny mängd"
"Subscribe to RSS Feed","Prenumerera på RSS-kanal"
"Product Link Block Template","Produktlänk blockmall"
"Max Characters","Maximalt antal tecken"
"Saved %d record(s)","Sparade %d post(er)"
"Options Control","Hantera alternativ"
"In Stock","I lager"
"Products per Page on Grid Default Value","Produkter per sida i listnät, förvalda värden"
"Double click on above image to view full picture","Dubbelklicka på bilden ovan för att se bilden i originalstorlek"
"Please specify the product\'s required option(s).","Vänligen ange produktens obligatoriska val"
"Invalid transactional email code.","Ogiltig kod för e-postmall."
"Comma-separated.","Komma (,) -separerat."
"You cannot send more than %d emails at a time.","Observera att det inte går att skicka mer än %d mail åt gången."
"Missing SKU, skipping the record.","Saknar artikelnr, hoppar över rad."
"Field is not complete","Fält är inte klar"
"Bottom/Left","Nedre del/Vänster"
"Update Attributes","Uppdatera attribut"
"Custom Options","Anpassade val"
"Allow All Products per Page","Tillåt alla produkter på sidan"
"The image contents is not valid base64 data.","Denna bilds innehåll är inte giltig med base65 data."
"Products","produkter"
"Catalog Product Link","Katalog produktlänk"
"Use Tree Like Category Sitemap","Använd trädstruktur för webbkarta"
"Set Ascending Direction","Stigande ordning"
"Please select items.","Vänligen ange artiklar."
"Regular Price:","Ordinarie pris"
"Enable WYSIWYG","Aktivera WYSIWYG"
"We Also Recommend","Vi rekommenderar även"
"Some of the processed products have no SKU value. Please fill it.","Några av de behandlade produkterna har inget artikelnummer, var god fyll i det."
"Backend Model","Modell för administrationsdelen"
"Unable to find a search term to delete.","Kan inte hitta sökterm att ta bort."
"Retrieve product image list","Hämta produktbildslista"
"Add Tier","Lägg till nivå"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","Flat katalogmodulen har en gräns på %2\$d filtrerbara och/eller sorterbara attribut. Just nu finns det %1\$d av dem. Var god minska antal filter-/sökbara attribut för att kunna använda denna modul."
"Product Tier Price API","Prisstafflingar produkt API"
"Media Image","Mediabild"
"Search Query","Sökfråga"
"Pending Reviews RSS","RSS-kanal för recensioner att granska"
"Input Type","Indatatyp"
"Qty for Item\'s Status to become Out of Stock","Antal innan lagerstatus ändras till ""Slut i lager"""
"Edit Product Attribute","Ändra produktattribut"
"Price Navigation Step Calculation","Prisnavigation stegberäkning"
"Last Notification","Senaste meddelande"
"Configurable Product Settings","Inställningar för konfigurerbar produkt"
"and","och"
"Name in %s","Namn i %s"
"Filter must be an object. Please set correct filter.","Filtret måste vara ett objekt. Var god ange rätt filter."
"Cache refresh needed.","Cache-refresh behövs."
"Update product link","Uppdatera produktlänk"
"Date Fields Order","Datumfältordning"
"An error occurred while removing products from websites.","Ett fel uppstod när produkterna togs bort från websites."
"The product has been deleted.","Produkten har tagits bort."
"Catalog URL Rewrites","Katalog URL omskrivningar"
"Used for Sorting in Product Listing","Används för sortering i produktlistor"
"Set/Get current store view","Ange/hämta nuvarande butiksvy"
"Assign product to category","Tilldela produkt till kategori"
"This product no longer exists.","Produkten finns inte längre."
"Remove product link","Ta bort produktlänk"
"Add Group","Lägg till grupp"
"Special Price: %s","Specialpris: %s"
"Product Description","Produktbeskrivning"
"Manage Attribute Sets","Hantera attributmängder"
"Retrieve product types","Hämta produkttyper"
"Notify Low Stock RSS","RSS-kanal för meddelanden om artiklar som håller på att ta slut i lager"
"Home","Home"
"Delete Selected Group","Ta bort vald grupp"
"Approved","Godkänd"
"This attribute cannot be updated.","Attributet kan inte uppdateras."
"Invalid category IDs.","Ogiltiga kategori ID."
"Change","Ändra"
"A name is required","Ett namn är obligatoriskt"
"Records for ""","Poster för """
"Enable Qty Increments","Aktivera steg för antal"
"Price:","Pris:"
"Link (Related, Up sell, Cross sell)","Länk (Relaterad, Uppsälj, Korssälj)"
"Create Permanent Redirect for old URL","Skapa 301 redirect för gammal URL"
"products","produkter"
"New Search","Ny sökning"
"General Information","Allmän information"
"Catalog Category (Anchor)","Katalogkateori (ankare)"
"Use Config Settings","Använd inställningar för konfiguration"
"Default Values","Förvalda värden"
"An error occurred while trying to delete the category.","Ett fel uppstod när kategorin försöktes tas bort."
"The search was deleted.","Söken har tagits bort."
"Category Link Block Template","Kategorilänk blockmall"
"# of Use","Använt antal"
"Virtual Product","Virtuell Produkt"
"Show Tags","Visa etiketter"
"Attribute ""%s"" is required.","Attribut ""%s"" är obligatoriskt."
"Top/Right","Överst/höger"
"Retrieve categories tree","Hämta kategoriträd"
"Add New Row","Lägg till ny rad"
"Store View","Butiksvy"
"Product In Websites","Produkt på webbplatser"
"Manage Stock","Hantera lager"
"Save Attribute Set","Spara attributmängd"
"Option:","Alternativ:"
"Image does not exist.","Bild finns inte."
"Products only","Endast produkter"
"Display in Suggested Terms","Visa i föreslagna termer"
"Please specify the product required option(s)","Vänligen ange produktens obligatoriska val"
"Invalid store specified, skipping the record.","Ogiltig butik specificerad, hoppar över rad."
"Close Window","Stäng fönstret"
"Yes","Ja"
"Failed","Misslyckades"
"Best Value","Placering"
"Up-sells","Merförsäljning"
"Custom Design","Anpassad design"
"All Websites","Alla webbsidor"
"The email template is not specified by administrator.","E-postmallen är inte angiven av administratorn."
"Product types API","API Produkttyper"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Använd statiska webbadresser för medieinnehåll i WYSIWYG för katalog"
"Selected configuration is not available.","Vald konfiguration är ej tillgänglig."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Vänligen ladda om ""Katalog URL omskrivningar"" och ""Produktattribute"" i System -> <a href=""%s"">Index hanteraren</a>"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicera endast på produkter och kategorier. Mediainnehåll kommer att läggas till i editorn som en statisk URL. Det är inte uppdaterat om bas URL:en ändras."
"This attribute cannot be deleted.","Detta attribut kan inte tas bort."
"Category move operation is not possible: the new parent category was not found.","Operation för att flytta kategori är inte möjligt: den nya kategorin kunde inte hittas."
"-- Please Select --","-- Vänligen välj --"
"Watermark Position","Placering av vattenmärke"
"Skipping import row, store ""%s"" field does not exist.","Hoppar över importrad, fältet för butik ""%s"" finns inte."
"Attrribute names can be specified per store.","Attributnamn kan specificeras per butik."
"URL Rewrite Management","Hantera URL-omskrivningar"
"Retrieve product attribute sets","Hämta produktattributmängder"
"Add Tax","Lägg till skatt"
"Template","Mall"
"Product Tags","Produktetiketter"
"Maximum image width","Maximal bildbredd"
"Search Information","Information om sökning"
"Out of stock","Slut i lager"
"Index product prices","Index för produktpriser"
"Qty","Antal"
"Edit Attribute Set '%s'","Redigera attributmängden '%s'"
"Position","Placering"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produkter som du vill dölja i katalogen eller i sökresultaten bör ha statusen 'Inaktiv' i önskad butik."
"Conditions Combination","Kombinera villkor"
"Zoom In","Zooma in"
"N/A","-"
"Filterable (with results)","Filtrerbar (med resultat)"
"Buy %1$s for %2$s each","Köp %1$s för %2$s st"
"Update product","Uppdatera produkt"
"Data Type for Saving in Database","Datatyp för sparningar i databas"
"An error occurred while adding customers for the %s alert. Message: %s","Ett fel uppstod när kunder för %s registrerades. Meddelande: %s"
"The product attribute has been deleted.","Produktattributet har tagits bort."
"Catalog Seo Sitemap (Common)","Katalog SEO Sitemap (Gemensam)"
"Use in Layered Navigation","Använd i lagerbaserad navigation"
"Set special price","Ange specialpris"
"Assign","Tilldela"
"This group contains system attributes. Please move system attributes to another group and try again.","Denna grupp innehåller systemattribut. Vänligen flytta systemattributen till en annan grupp och försök igen."
"Remove product assignment","Ta bort produktrelation"
"Source Model","Källmodell"
"Product Attributes","Produktattribut"
"Manage Catalog Categories","Hantera katalogkategorier"
"None","Inga"
"Grouped Product","Grupperad produkt"
"Catalog Product Compare List","Produktkatalog jämförlista"
"Delete Row","Ta bort rad"
"Select type of option","Välj typ av val"
"Please click on the Close Window button if it is not closed automatically.","Var god klicka på ""Stäng fönster"" om fönstret inte automatiskt stängs ner."
"Invalid attribute set specified, skipping the record.","Ogiltig attributmängd, hoppar över posten."
"Quick simple product creation","Snabbskapa enkel produkt"
"Email to %s was not sent.","E-post till %s har inte skickats."
"Price Type","Pristyp"
"Line %d, Email: %s","Rad %d, E-post: %s"
"Create (Upload)","Skapa (Ladda upp)"
"leave blank if its not an image","Lämna tomt om det inte är en bild"
"New Root Category","Ny rootkategori"
"Frontend","Kunddelen"
"Cannot create writeable directory '%s'.","Kan inte skapa skrivbar mapp '%s'."
"Use Canonical Link Meta Tag For Products","Använd canonical URL:ar för produkter."
"Default Price Navigation Step","Standard steg i prisnavigation"
"An error occurred while saving the search query.","Ett fel uppstod medan sökfrågan sparades."
"The review has been saved.","Översikten har sparats."
"Category","Kategori"
"Visible","Synlig"
"Site Map","Webbkarta"
"Attribute ""%s"" is invalid.","Attribut ""%s"" är ogiltigt."
"To reindex the enabled product(s), the store or product must be specified.","För att reindexera de aktiverade produkterna, måste butiken eller produkterna vara specificerade."
"Retrieve attribute list","Hämta attributlista"
"Add New Images","Lägg till nya bilder"
"Stock Availability","Lagersaldo"
"Product Images API","Produktbild API"
"Manage Product Sets","Hantera produktmängder"
"Save Attribute","Spara attribut"
"Option validation failed to add product to cart.","Alternativ valideringen misslyckades med att lägga produkten i varukorgen."
"Image","Bild"
"Disabled","Inaktiverad"
"Invalid store specified","Ogiltig butik har angetts"
"Choose an Option...","Välj ett alternativ..."
"Add Attribute","Lägg till attribut"
"Year Range","Valbart år-intervall"
"Expand All","Expandera alla"
"Backorders","Utestående beställningar"
"Unknown attribute: %s.","Okänt attribut: %s"
"Retrieve products list by filters","Hämta produktlista via filter"
"All Product Types","Alla produkttyper"
"The category has been saved.","Kategorin har sparats"
"Product collection expected.","Produktkollektion förväntas."
"Please specify the product's option(s).","Vänligen ange produktens alternativ."
"Prices","Priser"
"Apply MAP","Applicera minsta annonspris"
"Please specify the product option(s)","Vänligen ange produktens obligatoriska val"
"Choose option...","Välj ett alternativ..."
"General","Allmänt"
"Images","Bilder"
"Qty for Item's Status to Become Out of Stock","Antal för att lagersaldo ska bli ""Slut i lager"""
"General","Allmänt"
"Allow Dynamic Media URLs in Products and Categories", "Tillåt dynamiska media URL:ar i produkter och kategorier"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","T.ex: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}."
"Display Product Count","Visa antal"
"Create Permanent Redirect for URLs if URL Key Changed","Skapa 301 redirect för URL:ar vars URL-key ändras"
"Group Price","Pris per kundgrupp"
"Tier Price","Mängdrabatt"
"Display Actual Price","Visa faktiskt pris"
"Minimum Advertised Price","Minsta utannonserade pris"
"Shipping Method","Leveranssätt"
"Password","Lösenord"
"Terms and conditions","Köpvillkor"
"Display number of items in cart","Visa antal artiklar i varukorg"
"Recently added item(s)","Nyligen tillagda produkter"
"Cannot add item to the shopping cart.","Det går inte att lägga till produkten i varukorgen."
"Get a Quote","Beräkna"
"Update Qty & Addresses","Uppdatera antal & adresser"
"Move to Wishlist","Flytta till önskelista"
"Shopping Cart is Empty","Din varukorg är tom"
"Coupon code ""%s"" is not valid.","Kupongkod ""%s"" är inte giltig."
"Payment Methods After Checkout Button","Betalsätt efter utcheckningsknapp"
"Already registered?","Redan registrerad?"
"Items","Produkter"
"Content","Innehåll"
"Add New Condition","Lägg till ny förutsättning"
"Your Checkout Progress","Steg i kassan"
"Send Payment Failed Email Copy To","Skicka emailkopia betalning misslyckades"
"New Condition","Nytt villkor"
"Status","Status"
"Default Billing","Förvald fakturaadress"
"Please agree to all the terms and conditions before placing the order.","Vänligen godkänn villkoren innan du beställer."
"Back to Billing Information","Tillbaka till faktureringsuppgifter"
"Enabled","Aktiverad"
"Checkout","Gå till kassan"
"The condition has been saved.","Villkoret har sparats."
"Edit Terms and Conditions","Ändra köpvillkor"
"Register with us for future convenience:","Om du registrerar dig kan du handla smidigare i framtiden:"
"Card Verification Number Visual Reference","Verifieringsnummer för kort"
"osCommerce Orders","osCommerce Order"
"Shipping Address","Leveransadress"
"Other Items in Your Order","Andra produkter i din order"
"Telephone","Telefon"
"Display Shopping Cart Sidebar","Visa miniatyrvarukorg"
"Billing Information - %s","Faktura information - %s"
"Forgot your password?","Glömt ditt lösenord?"
"Checkout with Multiple Addresses","Genomför köp med flera adresser"
"Unable to set Payment Method.","Kan inte ställa in betalningsmetod."
"Sales","Försäljning"
"Maximum Display Recently Added Item(s)","Maximal visning av nyligen tillagda produkter"
"Shopping Cart Sidebar Extra Actions","Sidovarukorg, extra val"
"Continue to Shipping Information","Fortsätt till information om frakt"
"Payment Information","Information om betalning"
"Address","Adress"
"Register and save time!","Registrera dig och spara tid!"
"Cannot apply the coupon code.","Det går inte att använda kupongkoden."
"Condition Name","Villkorsnamn"
"%s was added to your shopping cart.","%s placerades i din varukorg."
"Select a shipping address from your address book or enter a new address.","Välj en leveranssadress från din adressbok eller ange en ny adress."
"My Cart Link","Länk till min varukorg"
"Sorry, no quotes are available for this order at this time.","Tyvärr är det för närvarande inte möjligt att begära offert för denna beställning."
"Data saving problem","Ett fel uppstod när data skulle sparas"
"Please agree to all Terms and Conditions before placing the order.","Vänligen acceptera köpvillkoren för att kunna beställa."
"Are you sure you would like to remove this item from the shopping cart?","Är du säker på att du vill ta bort denna produkt från varukorgen?"
"Enter your coupon code if you have one.","Ange din rabattkod om du har någon."
"Enter a discount code if you got it.","Ange din rabattkod om du har någon."
"Checkbox Text","Checkbox text"
"The product could not be found.","Produkten hittades inte."
"Edit Items","Ändra artiklar"
"After Adding a Product Redirect to Shopping Cart","Efter att en produkt har lagts till, omdirigera till varukorg"
"Your recurring payment profiles:","Dina återkommande betalningsprofiler:"
"Ship to this address","Leverera till denna adress"
"One Page Checkout Failure","Utcheckningsfel"
"Subtotal","Summa (inkl. moms)"
"Discount Codes","Rabattkoder"
"Please select shipping methods for all addresses","Vänligen välj leveranssätt för alla adresser"
"Billing Address","Fakturaadress"
"Fax","Fax"
"Checkout as Guest","Genomför köp som gäst"
"Review Order - %s","Granska beställning - %s"
"Login/Registration Before","Logga in / registrering före"
"Shipping selection is not applicable.","Frakt val är inte tillämplig."
"Continue to Billing Information","Fortsätt till fakturainformation"
"Payment Failed Emails","Betalning misslyckades e-post"
"The condition has been deleted","Villkoret har sparats"
"Edit Billing Address","Ändra fakturaadress"
"Qty","Antal"
"Cannot remove the item.","Kan inte ta bort produkten."
"Grouped Product Image","Bild för grupperad produkt"
"Use Billing Address","Använd fakturaadress"
"Select Shipping Method","Välj leveranssätt"
"My Cart (%s item)","Min varukorg (%s artikel)"
"Some of the requested products are unavailable.","Några av de efterfrågade produkterna är inte tillgängliga."
