"REQUEST YOUR QUOTE","RICHIEDI IL TUO PREVENTIVO"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Il nostro servizio clienti è disponibile 24/7. Chiamaci al (555) 555-0123."
"Out of Stock","Non disponibile"
"Out of stock","Non disponibile"
"PM","PM"
"Page Title Separator","Separatore titolo pagina"
"Parent Category","Categoria genitore"
"Pending","In attesa"
"Pending Reviews RSS","Recensioni in attesa RSS"
"Percentage","Percentuale"
"Please add rows to option.","Aggiungere righe di opzione."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Fai attenzione ogni volta che clicchi sulla riga saranno caricati i moduli dei dati pacchetto dal file selezionato e tutti i moduli dati non salvati andranno persi."
"Please click on the Close Window button if it is not closed automatically.","Clicca sul pulsante Chiudi Finestra se non si chiude automaticamente."
"Please enter a new group name","Inserire un nuovo nome gruppo"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Ricarica ""Catalogo URL Rewrites"" e ""Attributi prodotti"" in Sistema -> <a href=""%s"">Gestione indice</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Aggiorna ""Url Rewrites del Catalogo"" e ""Attributi Prodotto"" in Sistema -> <a href=""%s"">Amministrazione Indice</a>"
"Please refresh ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Aggiorna ""Attributi Prodotto"" in Sistema -> <a href=""%s"">Amministrazione Indice</a>"
"Please select a static block ...","Selezionare un blocco statico ..."
"Please select items.","Seleziona gli articoli."
"Please select one or more attributes.","Selezionare uno o più attributi."
"Please select product(s).","Selezionare prodotto(i)"
"Please select products for attributes update","Selezionare prodotti per l\'aggiornamento attributi"
"Please set up merge date/time","Imposta unione data/ora"
"Please set up merge date/time later then present date","Imposta unione data/ora successiva a quella attuale."
"Please specify date required option(s).","Specificare data opzione richiesta."
"Please specify the number of products, that will not be divided into subintervals.","Specificare il numero di prodotti che non sarà diviso in sotto intervalli."
"Please specify the product required option(s)","Specificare le opzioni del prodotto."
"Please specify the product required option(s).","Specificare le opzioni del prodotto."
"Please specify the product's option(s).","Specificare le opzioni del prodotto."
"Please specify the product\'s option(s).","Specificare le opzioni del prodotto."
"Please specify the product\'s required option(s).","Specificare le opzioni richieste del prodotto."
"Please specify the quantity of product(s).","Specificare la quantità del prodotto."
"Please specify time required option(s).","Specificare il tempo dell\'opzione richiesta."
"Please wait...","Attendere prego..."
"Position","Posizione"
"Position in Layered Navigation","Posizione nella navigazione a livelli"
"Position of attribute in layered navigation block","Posizione dell'attributo nel blocco navigazione a livelli"
"Prev","Preced"
"Previous","Precedente"
"Price Navigation Step Calculation","Calcola gli step di navigazione del prezzo"
"Price Type","Tipo prezzo"
"Price is not available","Prezzo non disponibile"
"Price values for options should be specified in system base currency.","I valori dei prezzi per le opzioni dovrebbero essere specificati nella valuta corrente di sistema."
"Price:","Prezzo:"
"Price: %s","Prezzo: %s"
"Print This Page","Stampa questa pagina"
"Product","Prodotto"
"Product API","API prodotto"
"Product Alerts","Avvisi prodotto"
"Product Attribute","Attributo prodotto"
"Product Attributes","Attributi Prodotto"
"Product Categories","Categorie prodotti"
"Product Description","Descrizione prodotto"
"Product Extra Info","Info extra prodotto"
"Product Flat Data","Dati prodotto Flat"
"Product ID","ID prodotto"
"Product Image","Immagine Prodotto"
"Product Image Placeholders","Segnaposti immagine prodotto"
"Product Image Watermarks","Watermarks immagine prodotto"
"Product Images","Immagini prodotto"
"Product Images API","API immagini prodotto"
"Product In Websites","Prodotto nei siti web"
"Product Info Column","Colonna Info prodotto"
"Product Information","Informazioni prodotto"
"Product Link Block Template","Template link blocco prodotto"
"Product Link Inline Template","Template in linea collegamento prodotto"
"Product Listing Sort by","Listino prodotti ordinato per"
"Product Name","Nome prodotto"
"Product Prices","Prezzi prodotto"
"Product Reviews","Recensioni prodotto"
"Product Tags","Tag prodotto"
"Product Tier Price API","API fascia prezzo prodotto"
"Product Type","Tipo prodotto"
"Product URL Suffix","Suffisso URL prodotto"
"Product View Extra Hint","Suggerimento extra vista prodotto"
"Product attribute sets API","API set attributi prodotto"
"Product attributes API","API attributi prodotto"
"Product collection expected.","Raccolta prodotto prevista."
"Product is not loaded","Il prodotto non è stato caricato"
"Product links API (related, cross sells, up sells)","Link API prodotto (prodotti correlati, prodotti consigliati, prodotti alternativi)"
"Product types API","API tipi prodotto"
"Product with this combination of attributes already associated to configurable.","Un prodotto con questa combinazione di attributi è già assocciato a configurabile."
"Products","Prodotti"
"Products Comparison List","Lista di confronto prodotti"
"Products Information","Informazioni prodotti"
"Products Sitemap","Sitemap prodotti"
"Products only","Solo prodotti"
"Products per Page on Grid Allowed Values","Valori permessi in Prodotti per Pagina della griglia"
"Products per Page on Grid Default Value","Valore predefinito in Prodotti per Pagina della griglia"
"Products per Page on List Allowed Values","Valori permessi in Prodotti per Pagina della lista"
"Products per Page on List Default Value","Valore predefinito in Prodotti per Pagina della lista"
"Properties","Proprietà"
"Qty","Qtà"
"Qty Increments","Incrementi Qtà"
"Qty Uses Decimals","Decimali utilizzati in Qtà"
"Qty for Item\'s Status to become Out of Stock","Qtà dello stato dell\'articolo per diventare non disponibile"
"Qty:","Qtà:"
"Quantity","Qtà"
"Quick Create","Creazione veloce"
"Quick Overview","Breve descrizione"
"Quick simple product creation","Creazione veloce prodotti semplici"
"Records for ""%s"" store found.","Risultati per ""%s"" negozi(o) trovati."
"Redirect","Reindirizzamento"
"Redirect URL","URL reindirizzamento"
"Regular Price:","Prezzo di listino:"
"Related Products","Prodotti Correlati"
"Remove","Rimuovi"
"Remove Product From Websites","Rimuovi prodotto dal sito web"
"Remove This Item","Rimuovi questo articolo"
"Remove attribute from attribute set","Rimuovi attributo dal set di attributi"
"Remove attribute set","Rimuovi set di attributi"
"Remove custom option","Rimuovi opzione personalizzata"
"Remove group from attribute set","Rimuovi gruppo dal set di attributi"
"Remove option","Rimuovi opzione"
"Remove product assignment","Rimuovere assegnazione prodotto"
"Remove product image","Rimuovere immagine prodotto"
"Remove product link","Rimuovere link prodotto"
"Remove value from custom option","Rimuovi valore dall\'opzione personalizzata"
"Rename existing group","Rinomina gruppo esistente"
"Rename group","Rinomina gruppo"
"Reorganize EAV category structure to flat structure","Riorganizzare struttura categoria EAV a una struttura flat"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Reset","Reset"
"Results","Risultati"
"Results per page","Risultati per pagina"
"Retrieve attribute data","Recupera dati attributo"
"Retrieve attribute list","Recupera lista attributo"
"Retrieve attribute options","Recupera opzioni attributi"
"Retrieve categories tree","Recupera albero categorie"
"Retrieve category attributes","Recupera categoria attributi"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Recupera gerarchia ad albero"
"Retrieve linked products","Recupera prodotti collegati"
"Retrieve list of assigned products","Recupera elenco prodotti assegnati"
"Retrieve list of option values","Recupera lista dei valori dell\'opzione"
"Retrieve list of product custom options","Recupera lista delle opzioni personalizzate del prodotto"
"Retrieve one level of categories by website/store view/parent category","Recupera un livello delle categorie da website/store view/parent category"
"Retrieve option value info","Recupera informazioni valore opzione"
"Retrieve product","Recupera prodotto"
"Retrieve product attribute sets","Recupera set attributi prodotto"
"Retrieve product image","Recupera immagine prodotto"
"Retrieve product image list","Recupera lista immagini prodotto"
"Retrieve product image types","Recupera tipi immagine prodotto"
"Retrieve product link type attributes","Recuoera tipo attributi collegati al prodotto"
"Retrieve product link types","Recupera tipi collegamenti al prodotto"
"Retrieve product tier prices","Recupera fasce prezzi prodotto"
"Retrieve product types","Recupera tipi prodotto"
"Retrieve products data","Recupera dati prodotto"
"Retrieve products list by filters","Recupera lista prodotti con filtri"
"Reviews","Recensioni"
"Roll Over for preview","Passa sopra per l'anteprima"
"Root","Root"
"SKU","SKU"
"SKU length should be %s characters maximum.","Lunghezza massima SKU dovrebbe essere %s caratteri."
"Save Attribute","Salva attributo"
"Save Attribute Set","Salva set attributi"
"Save Category","Salva categoria"
"Save Search","Salva ricerca"
"Save and Continue Edit","Salva e continua modifiche"
"Saved %d record(s)","Salvati/o %d risultati/o"
"Scope","Campo di applicazione"
"Scope must not be changed, because the attribute is used in configurable products.","Lo scopo non deve essere cambiato perché gli attributi sono utilizzati nei prodotti configurabili."
"Search","Ricerca"
"search","ricerca"
"Search Engine Optimizations","Ottimizzazione motori di ricerca"
"Search Information","Informazioni di ricerca"
"Search Query","Query di ricerca"
"Search Weight","Cerca Peso"
"Search Term with such search query already exists.","Termine di ricerca con tale query di ricerca già esistente."
"Searchable","Ricercabile"
"See price before order confirmation.","Vedi il prezzo prima della conferma dell\'ordine."
"Select Category...","Seleziona categoria..."
"Select Configurable Attributes ","Selezioni attributi configurabili"
"Select Product...","Seleziona prodotto..."
"Select type of option","Seleziona tipo di opzione"
"Select type options required values rows.","Selezionare righe valori tipo di opzioni richieste."
"Selected Product Types","Tipi prodotto selezionati"
"Send Count","Spedire conteggio"
"Set Ascending Direction","Imposta ordine ascendente"
"Set Descending Direction","Imposta ordine discendente"
"Set Name","Imposta nome"
"Set Root Category for Store","Imposta categoria di Root per il negozio"
"Set root category for this store in the <a href=""%s"">configuration</a>","Imposta la categoria di root per questo negozio nella <a href=""%s"">configurazione</a>"
"Set special price","Imposta prezzo speciale"
"Set/Get current store view","Imposta/Ottieni vista corrente negozio"
"Settings","Impostazioni"
"Share Facebook","Condividi su Facebook"
"Share on Facebook","Condividi su Facebook"
"Share on Twitter","Condividi su Twitter"
"Shop By","Acquista per"
"Shopping Options","Opzioni acquisto"
"Show","Mostrare"
"Show Details","Mostra dettagli"
"Show Tags","Mostra i Tag"
"Simple Product","Prodotto semplice"
"Site Map","Site map"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Salta riga importata, non è un valore valido ""%s"" per il campo ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Salta riga importata, il campo richiesto ""%s"" per il nuovo cliente non è definito."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Salta riga importata, il valore ""%s"" non è valido per il campo ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Salta riga importata, campo richiesto ""%s"" per i nuovi prodotti non è definito."
"Skipping import row, required field ""%s"" is not defined.","Salta riga importata, il campo richiesto ""%s"" non è definito."
"Skipping import row, store ""%s"" field does not exist.","Salta riga importata, il campo negozio ""%s"" non esiste."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Salta riga importata, il valore ""%s"" non è valido per il campo ""%s""."
"Small Image Width","Larghezza Immagine Small"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Alcuni dei prodotti elaborati non hanno un valore SKU definito. Inserirlo prima di eseguire operazioni su questi prodotti."
"Some of the selected item options are not currently available.","Alcune delle opzioni prodotto selezionate non sono al momento disponibili."
"Sort by","Ordina per"
"Sort Order","Ordine"
"Source Model","Origine modello"
"Special Expires On: %s","Speciale scade il: %s"
"Special Price:","Prezzo speciale:"
"Special Price: %s","Prezzo speciale: %s"
"Starting at:","A partire da:"
"Static","Statico"
"Static block and products","Blocco statico e prodotti"
"Static block only","Solo blocco statico"
"Status","Stato"
"Stock Availability","Disponibilità"
"Store","Negozio"
"Store View","Vista negozio"
"Stretch","Estesa"
"Subscribe to RSS Feed","Iscriviti ai Feed RSS"
"Super product attributes configuration","Configurazione attributi super prodotti"
"Synonym For","Sinonimo di"
"System Properties","Proprietà del sistema"
"Tag Name","Nome Tag"
"Template","Template"
"Text","Testo"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","Il modulo catalogo Flat ha un limite di %2\$d attributi filtrabili e/o ordinabili. Attualmente ce ne sono %1\$d. Riduci il numero degli attributi filtrabili/ordinabili per poter usare questo modulo."
"The From Date value should be less than or equal to the To Date value.","Il valore del campo Dalla data deve essere minore o uguale al valore del campo Alla data."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Il codice attributo \'%s\' è riservato dal sistema. Prova un altro codice attributo"
"The attribute model is not defined","Il modello di attributo non è definito"
"The attribute set has been saved.","Il set di attributi è stato salvato."
"The base directory to upload file is not specified.","La directory di base per caricare il file non è specificata."
"The category has been deleted.","La categoria è stata cancellata."
"The category has been saved.","La categoria è stata salvata."
"The comparison list was cleared.","La lista di confronto è stata ripulita."
"The file '%s' for '%s' has an invalid extension","Il file '%s' per '%s' ha un\'estensione non valida"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Il file '%s' che hai caricato è più grande dei %s Megabytes permessi dal server"
"The file you uploaded is larger than %s Megabytes allowed by server","Il file che hai caricato è più grande dei %s Megabytes permessi dal server"
"The filters must be an array.","Il filtro deve essere un array."
"The image contents is not valid base64 data.","I contenuti dell\'immagine non sono validi su dati base64."
"The image is not specified.","L\'immagine non è specificata."
"The model collection resource name is not defined.","Il nome della risorsa collezione modello non è definito."
"The product %s has been added to comparison list.","Il prodotto %s è stato aggiunto alla lista di confronto."
"The product %s has been removed from comparison list.","Il prodotto %s è stato rimosso dalla lista di confronto."
"The product attribute has been deleted.","L\'attributo del prodotto è stato cancellato."
"The product attribute has been saved.","L\'attributo del prodotto è stato salvato."
"The product has been created.","Il prodotto è stato creato."
"The product has been deleted.","Il prodotto è stato cancellato."
"The product has been duplicated.","Il prodotto è stato duplicato."
"The product has been saved.","Il prodotto è stato salvato."
"The product has required options","Il prodotto dispone di opzioni obbligatorie"
"The review has been deleted","La recensione è stata cancellata."
"The review has been saved.","La recensione è stata salvata."
"The review was removed by another user or does not exist.","La recensione è stata rimossa da un altro utente o non esiste."
"The search was deleted.","La ricerca è stata eliminata."
"The text is too long","Il testo è troppo lungo"
"There are no %s available.","Non ci sono %s disponobili."
"There are no customers for this alert","Non ci sono clienti per questo avviso"
"There are no customers for this alert.","Non ci sono clienti per questo avviso."
"There are no products matching the selection.","Non ci sono prodotti corrispondenti alla selezione."
"There was an error while request processing.","Si è verificato un errore durante il processo richiesto."
"This Attribute no longer exists","Questo attributo non esiste più"
"This attribute cannot be deleted.","Questo attributo non può essere cancellato."
"This attribute cannot be edited.","Questo attributo non può essere modificato."
"This attribute cannot be updated.","Questo attributo non può essere aggiornato."
"This attribute is used in configurable products.","Questo attributo è utilizzato nei prodotti configurabili."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Questo attributo è utilizzato nei prodotti configurabili. Non lo puoi rimuovere dal set di attributi."
"This attribute no longer exists","Questo attributo non esiste più"
"This attribute set no longer exists.","Questo set di attributi non esiste più."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Questo gruppo contiene degli attributi utilizzati nei prodotti configurabili. Sposta questi attributi in un altro gruppo e prova di nuovo."
"This group contains system attributes. Please move system attributes to another group and try again.","Questo gruppo contiene attributi di sistema. Sposta gli attributi di sistema in un altro gruppo e prova di nuovo."
"This is a required option","È una opzione obbligatoria"
"This product no longer exists.","Questo prodotto non esiste più."
"This search no longer exists.","Questa ricerca non esiste più."
"This setting will be applied when all prices in the specific price interval are equal.","Questa impostazione verrà applicata quando tutti i prezzi nello specifico intervallo di prezzo saranno equivalenti."
"Tier Pricing","Fascia prezzo"
"Tile","Ripetuta"
"Time Format","Formato ora"
"Title","Titolo"
"To reindex the enabled product(s), the store or product must be specified.","Per reindicizzare il/i prodotto/i abilitato/i, il negozio o il prodotto deve essere specificato."
"To see product price, add this item to your cart. You can always remove it later.","Per vedere il prezzo del prodotto aggiungi questo articolo al tuo carrello. Lo puoi rimuovere in qualsiasi momento."
"Top/Left","In alto/Sinistra"
"Top/Right","In alto/Destra"
"Total Qty Base Items","Qtà totale articoli di base"
"Total Qty Content Items","Quantità totale degli Oggeti"
"Total incl. Tax: %1$s","Totale incl. Tasse: %1$s"
"Total of %d record(s) have been deleted.","%d risultati sono stati cancellati."
"Total of %d record(s) have been updated.","%d risultati sono stati aggiornati."
"Total of %d record(s) were updated","%d risultati sono stati aggiornati."
"Type","Tipo"
"URL Rewrite Management","Gestione URL Rewrite"
"Unable to complete this request.","Impossibile completare questa richiesta."
"Unable to find a search term to delete.","Impossibile trovare il termine di ricerca da cancellare."
"Unable to find an attribute to delete.","Impossibile trovare l\'attributo da cancellare."
"Unable to get the product ID.","Impossibile ottenere l\'ID prodotto."
"Unassigned Attributes","Attributi non assegnati"
"Unknown EAV indexer type ""%s"".","Tipo indicizzatore EAV sconosciuto ""%s""."
"Unknown attribute: %s.","Attributo sconosciuto: %s."
"Unsupported product type ""%s"".","Tipo prodotto non supportato ""%s""."
"Up-sells","Prodotti alternativi"
"Update","Aggiornare"
"Update Attributes","Aggiorna attributi"
"Update Tier Price","Aggiorna fascia prezzo"
"Update assigned product","Aggiorna prodotto assegnato"
"Update attribute","Aggiorna attributo"
"Update attributes","Aggiorna attributi"
"Update category","Aggiorna categoria"
"Update custom option of product","Aggiorna opzione personalizzata del prodotto"
"Update product","Aggiorna prodotto"
"Update product image","Aggiorna immagine prodotto"
"Update product link","Aggiorna link prodotto"
"Update product tier prices","Aggiorna livello prezzi prodotto"
"Update value of custom option","Aggiorna valore dell\'opzione personalizzata"
"Upload new product image ","Carica una nuova immagine prodotto"
"Use Canonical Link Meta Tag For Categories","Usa i meta tag Canonical Link  per le Categorie"
"Use Canonical Link Meta Tag For Products","Usa i meta tag Canonical Link  per i Prodotti"
"Use Categories Path for Product URLs","Usa il percorso delle categorie per gli URL prodotto"
"Use Config Settings","Usa impostazioni di configurazione"
"Use Default Value","Usa valore predefinito"
"Use Flat Catalog Category","Usa il Catalogo Flat per le categorie"
"Use Flat Catalog Product","Usa il Catalogo Flat per i prodotti"
"Use In Layered Navigation","Usa nella navigazione a livelli"
"Use In Search Results Layered Navigation","Usa nella navigazione a livelli dei risultati di ricerca"
"Use JavaScript Calendar","Usa calendario JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Usa URL statici per i Media Content in WYSIWYG per il catalogo"
"Use To Create Configurable Product","Usa per creare prodotti configurabili"
"Use Tree Like Category Sitemap","Usa lo stile ad albero per la Sitemap delle Categorie"
"Use config","Usa config"
"Use default","Usa predefinito"
"Use for Promo Rule Conditions","Usa per le condizioni delle regole promozionali"
"Use four-digit year format.","Usa il formato anno a quattro cifre."
"Use in Advanced Search","Usa nella ricerca avanzata"
"Use in Layered Navigation","Usa nella navigazione a livelli"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usa nella navigazione a livelli<br/>(Può essere usata solo con ingresso tipo di catalogo 'Dropdown')"
"Use in Quick Search","Usa nella ricerca veloce"
"Used for Sorting in Product Listing","Usato per ordinare nella lista prodotti"
"Used in Product Listing","Usato per la lista prodotti"
"Value for ""%s"" is invalid.","Il valore di ""%s"" non è valido."
"Value for ""%s"" is invalid: %s","Il valore di ""%s"" non è valido: %s"
"Varchar","Varchar"
"View Details","Mostra Dettagli"
"View as","Vedi come"
"Virtual Product","Prodotto virtuale"
"Visibility","Visibilità"
"Visible","Visibile"
"Visible on Catalog Pages on Front-end","Visibile nelle pagine del catalogo nel Front-end"
"Visible on Product View Page on Front-end","Visibile sulla pagina prodotto sul Front-end"
"WYSIWYG Editor","Editor WYSIWYG "
"Watermark","Watermark"
"Watermark Default Size","Dimensione predefinita Watermark"
"Watermark Opacity, Percent","Opacità, percentuale Watermark"
"Watermark Position","Posizione Watermark"
"We Also Recommend","Consigliamo anche"
"Website Item Must be checked","Oggetto Sito Web deve essere selezionato"
"Website Store Must be checked","Store Sito Web deve essere selezionato"
"Website","Sito web"
"Websites","Siti web"
"What's this?","Cos'è questo?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","che mostra l'opzione ""tutti"" nel menu a discesa ""Mostra X per pagina""."
"Will make search for the query above return results for this search.","Quando verrà fatta la ricerca per la parola precedente inserire i risultati per questa ricerca."
"Wrong BuyRequest instance in options group.","Istanza acquisto errata nelle opzioni gruppo."
"Wrong configuration item instance in options group.","Istanza configurazione articolo errata nelle opzioni gruppo."
"Wrong configuration item option instance in options group.","Istanza di configurazione opzioni articolo errata in opzioni gruppo."
"Wrong option instance type in options group.","Istanza tipo opzione errata in opzioni gruppo."
"Wrong option type to get group instance.","Tipo opzioni errata per ottenere istanza gruppo."
"Wrong product instance type in options group.","Tipo istanza prodotto errata in opzioni gruppo."
"Wrong product type filter specified","Tipo filtro prodotto specificato errato"
"Wrong product type to extract configurable options.","Tipo prodotto errato per estrarre opzioni configurabili."
"Year Range","Intervallo anno"
"Yes","Si"
"You cannot remove system attribute from this set.","Non puoi rimuovere l'attributo di sistema da questo set di attributi."
"You have no items to compare.","Non hai articoli da confrontare."
"You may also be interested in the following product(s)","Potresti essere interessato anche ai seguenti prodotti"
"Zoom In","Ingrandisci"
"Zoom Out","Diminuisci"
"and","e"
"and above","e superiore"
"categories","categorie"
"each","ognuno"
"ex. http://domain.com","es. http://domain.com"
"leave blank if its not an image","lasciare bianco se non è un immagine"
"per page","per pagina"
"products","prodotti"
"px.","px."
"save","risparmia"
"select all","seleziona tutto"
"unselect all","deseleziona tutto"
"x","x"
"Downloadable Product Options","Opzioni prodotto scaricabile"
"Order Item Status to Enable Downloads","Stato ordine oggetto per abilitare il download"
"Default Maximum Number of Downloads","Imposta numero massimo di download"
"Open Links in New Window","Apri link in una nuova finestra"
"Use Content-Disposition","Usa disposizione-contenuto"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disattiva il pagamento come ospite se il carrello contiene oggetti scaricabili."
"Guest checkout will only work with shareable.","Il checkout come ospito funzionerà solamente con la condivisione."
"Display Settings","Impostazioni di visualizzazione"
"Prices","Prezzi"
"Meta Information","Informazioni Meta"
"Images","Immagini"
"Recurring Profile","Profilo ricorrente"
"Qty for Item's Status to Become Out of Stock","Qtà per lo stato del prodotto perché diventi Non disponibile"
"Field","Campo"
"Area","Area"
"File","File"
"Select","Seleziona"
"Drop-down","Drop-down"
"Radio Buttons","Radio buttons"
"Checkbox","Checkbox"
"Multiple Select","Selezione multipla"
"Date","Data"
"Date & Time","Data & Ora"
"Time","Ora"
"Descriptions","Descrizioni"
"1 star","1 stella"
"2 stars","2 stelle"
"3 stars","3 stelle"
"4 stars","4 stelle"
"5 stars","5 stelle"
"Add New Rating","Aggiungi una nuova valutazione"
"Assigned Options","Assegna opzioni"
"Be the first to review this product","Recensisci il prodotto per primo"
"Default Value","Valore predefinito"
"Delete Rating","Elimina voto"
"Edit Rating","Modifica valutazione"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Se non specifichi un titolo per la valutazione in questo negozio, verrà usato il valore predefinito."
"Manage Ratings","Gestisci valutazioni"
"New Rating","Nuova valutazione"
"Option Label","Opzioni etichetta"
"Option Title","Opzioni titolo"
"Option Title:","Opzioni titolo:"
"Please select one of each ratings above","Per favore seleziona una valutazione qua sopra"
"Rating Information","Informazioni sulla valutazione"
"Rating Name","Nome valutazione"
"Rating Options","Opzioni voto"
"Rating Title","Titolo valutazione"
"Rating Visibility","Visibilità valutazione"
"Rating isn't Available","Voto non disponibile"
"Rating with the same title","Voto con lo stesso titolo"
"Save Rating","Salva valutazione"
"Sort Order",Ordinamento
"Visible In","Visibile su"
"Value","Valore"
"How Do You Rate This Product?","Come consideri questo prodotto?"
"Summary of your Review","Riepilogo Della Tua Recensione"
"Delivery and payment","Pagamento & Consegna"
"Business","Professionnel"
"Street Name","Indirizzo"
"House Number","Numero"
"Additional Address","Dati addizionali (Complesso, Piano, porta, scala....)"
"Phone Number","Numero du telefono"
"Shipping Adress","Indirizzo di spedizione"
"Billing Address","Indirizzo di fatturazione"
"My billing and shipping address are the same","Il mio indirizzo di fatturazione e quello di spedizione sono gli stessi"
"Shipping Methods","Metodo di spedizione"
"Payment Method","Metodo di pagamento"
"Apply Discount Code","Codici sconto"
"Enter discount code","Inserisci il tuo codice coupon se ne hai uno."
"Apply Discount","Applica Coupon"
"Checkout Review","Dettagli dell'acquisto"
"Product name","Prodotto"
"Cart Subtotal","Subtotale Carrello"
"Tax","Tasse"
"Shipping","Spedizione & trattamento"
"Order Total","Totale complessivo"
"Place Order","Effettua Ordine"
"Existing customer? Log in to your account","Sei già un cliente? Connettiti al tuo account"
"Start typing your address or zip/postal code","Inizia a digitare il tuo indirizzo o il tuo codice postale"
"Not yet calculated","Non ancora calcolato"
"Newsletter Subscriptions", "Iscrizioni alla newsletter"
"Privacy Settings", "Impostazioni della privacy"
"Select location","Seleziona la posizione"
"To place your order, you must agree to the terms and conditions.","Per effettuare l'ordine, è necessario accettare i termini e le condizioni."
"Enter Keyword or Item","Inserisci la parola chiave o l'articolo"
"Search entire store here...","Cerca in tutto il negozio qui..."
"Bestsellers", "I più venduti"
"Items %1-%2 of %3 total","Articoli %1-%2 di %3 in totale"
"%1 Item","%1 Elemento"
"%1 Items","%1 Elementi"
"Your search returned no products.","La tua ricerca non ha prodotto prodotti."
"Search results for: '%1'","Cerca risultati per: '%1'"
"Recently Viewed Products","Prodotti Visionati Recentemente"
"Your search returned no results.","La ricerca non ha prodotto risultati."
"Did you mean","Intendevi"
"Related Terms","Termini Correlati"
"This is a required field.","Questo è un campo obbligatorio."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","L'ordine non è stato effettuato. Innanzitutto, accetta i termini e le condizioni, quindi prova a effettuare nuovamente l'ordine."
"Change Country", "Cambia Paese"
"You added %s to your shopping cart.","Hai aggiunto %s al tuo carrello."
"You added %1 to your shopping cart.","Hai aggiunto %1 al tuo carrello."
"We can't add this item to your shopping cart right now.","Non possiamo aggiungere questo articolo al tuo carrello in questo momento."
"Print receipt", "Stampa ricevuta"
"Your order # is: %1.", "Il tuo ordine # è: %1."
"We'll email you an order confirmation with details and tracking info.", "Ti invieremo un'e-mail di conferma dell'ordine con i dettagli e le informazioni di tracciamento."
"We expect to ship your order on %1 and your order will be delivered on %2.", "Prevediamo di spedire il tuo ordine il %1 e il tuo ordine verrà consegnato il %2."
"We expect to ship your order on %1 and your order will be delivered between %2 and %3.", "Prevediamo di spedire il tuo ordine il %1 e il tuo ordine verrà consegnato tra %2 e %3."
"We expect to ship your order on %1.", "Prevediamo di spedire il tuo ordine il %1."
"Sign In","Accedi"
"Sign Out","Esci"
"The requested qty exceeds the maximum qty allowed in shopping cart","La quantità richiesta supera la quantità massima consentita nel carrello"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo articolo dal carrello?"
"The shipping method is missing. Select the shipping method and try again.","Manca il metodo di spedizione. Seleziona il metodo di spedizione e riprova."
"Shipping Address","Indirizzo Di Spedizione"
"Back to Store","Torna al negozio"
"For delivery questions.","Per domande sulla consegna."
"Ship here","Spedisci qui"
"Some addresses can't be used due to the configurations for specific countries.","Alcuni indirizzi non possono essere utilizzati a causa delle configurazioni per paesi specifici."
"An error occurred on the server. Please try to place the order again.","Si è verificato un errore sul server. Si prega di riprovare a effettuare l'ordine."
"Submit chosen location","Invia la posizione scelta"
"Pickup locations found","Luoghi di ritiro trovati"
"Filter pickup locations","Filtra le località di ritiro"
"Postcode, city, street, house","CAP, città, via, casa"
"Late open (after: 18:00)","Apertura tardiva (dopo: 18:00)"
"Open early (before 9:00)","Aperto presto (prima delle 9:00)"
"Open on Sunday","Aperto la domenica"
"Choose a pickup location","Scegli un luogo di ritiro"
"I would like to receive a new one","Vorrei riceverne uno nuovo"
"I would like to get a refund","Vorrei ottenere un rimborso"
"Select subcategory", "Seleziona sottocategoria"
"Choose your solution", "Scegli la tua soluzione"
"Print quality","Qualità di stampa"
"Product quality (item)","Qualità del prodotto (articolo)"
"Wrong product (does not fit)","Prodotto sbagliato (non va bene)"
"It is not what I expected","Non è quello che mi aspettavo"
"Package not yet arrived","Pacco non ancora arrivato"
